city,station_id,date,observation_count,n_pocs,min_observation_percent,latitude,longitude,distance_km,no2_ppb
Atlanta,13-121-0056,2019-01-18,24,1,100.0,33.7784,-84.3914,3.284209060611107,18.704167
Atlanta,13-089-0002,2019-01-19,24,1,100.0,33.6878,-84.2905,11.297304120542412,4.458333
Atlanta,13-089-0003,2019-01-19,24,1,100.0,33.698643,-84.272614,12.051165952298387,6.870833
Atlanta,13-121-0056,2019-01-19,24,1,100.0,33.7784,-84.3914,3.284209060611107,11.866667
Atlanta,13-089-0002,2019-01-20,19,1,79.0,33.6878,-84.2905,11.297304120542412,3.768421
Atlanta,13-089-0003,2019-01-20,22,1,92.0,33.698643,-84.272614,12.051165952298387,5.440909
Atlanta,13-121-0056,2019-01-20,21,1,88.0,33.7784,-84.3914,3.284209060611107,5.747619
Atlanta,13-089-0002,2019-01-21,24,1,100.0,33.6878,-84.2905,11.297304120542412,10.804167
Atlanta,13-089-0003,2019-01-21,24,1,100.0,33.698643,-84.272614,12.051165952298387,17.933333
Atlanta,13-121-0056,2019-01-21,24,1,100.0,33.7784,-84.3914,3.284209060611107,16.9
Atlanta,13-089-0002,2019-01-22,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.808333
Atlanta,13-089-0003,2019-01-22,24,1,100.0,33.698643,-84.272614,12.051165952298387,20.054167
Atlanta,13-121-0056,2019-01-22,24,1,100.0,33.7784,-84.3914,3.284209060611107,17.925
Atlanta,13-089-0002,2019-01-23,24,1,100.0,33.6878,-84.2905,11.297304120542412,5.129167
Atlanta,13-089-0003,2019-01-23,24,1,100.0,33.698643,-84.272614,12.051165952298387,10.075
Atlanta,13-121-0056,2019-01-23,24,1,100.0,33.7784,-84.3914,3.284209060611107,18.2
Atlanta,13-089-0002,2019-01-24,24,1,100.0,33.6878,-84.2905,11.297304120542412,7.425
Atlanta,13-089-0003,2019-01-24,24,1,100.0,33.698643,-84.272614,12.051165952298387,12.458333000000001
Atlanta,13-121-0056,2019-01-24,24,1,100.0,33.7784,-84.3914,3.284209060611107,12.1
Atlanta,13-089-0002,2019-01-25,24,1,100.0,33.6878,-84.2905,11.297304120542412,13.65
Atlanta,13-089-0003,2019-01-25,24,1,100.0,33.698643,-84.272614,12.051165952298387,20.233333
Atlanta,13-121-0056,2019-01-25,24,1,100.0,33.7784,-84.3914,3.284209060611107,17.05
Atlanta,13-089-0002,2019-01-26,24,1,100.0,33.6878,-84.2905,11.297304120542412,18.170833
Atlanta,13-089-0003,2019-01-26,24,1,100.0,33.698643,-84.272614,12.051165952298387,21.575
Atlanta,13-121-0056,2019-01-26,24,1,100.0,33.7784,-84.3914,3.284209060611107,24.920833
Atlanta,13-089-0002,2019-01-27,19,1,79.0,33.6878,-84.2905,11.297304120542412,20.947368
Atlanta,13-121-0056,2019-01-27,21,1,88.0,33.7784,-84.3914,3.284209060611107,26.180951999999998
Atlanta,13-089-0002,2019-01-28,24,1,100.0,33.6878,-84.2905,11.297304120542412,14.091667
Atlanta,13-121-0056,2019-01-28,24,1,100.0,33.7784,-84.3914,3.284209060611107,24.475000000000005
Atlanta,13-089-0002,2019-01-29,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.879167
Atlanta,13-121-0056,2019-01-29,24,1,100.0,33.7784,-84.3914,3.284209060611107,11.320833
Atlanta,13-089-0002,2019-01-30,24,1,100.0,33.6878,-84.2905,11.297304120542412,17.195833
Atlanta,13-121-0056,2019-01-30,24,1,100.0,33.7784,-84.3914,3.284209060611107,20.083333
Atlanta,13-089-0002,2019-01-31,24,1,100.0,33.6878,-84.2905,11.297304120542412,24.641667
Atlanta,13-121-0056,2019-01-31,24,1,100.0,33.7784,-84.3914,3.284209060611107,27.245833
Atlanta,13-089-0002,2019-02-01,24,1,100.0,33.6878,-84.2905,11.297304120542412,30.316667
Atlanta,13-121-0056,2019-02-01,24,1,100.0,33.7784,-84.3914,3.284209060611107,32.766667
Atlanta,13-089-0002,2019-02-02,24,1,100.0,33.6878,-84.2905,11.297304120542412,15.733333
Atlanta,13-121-0056,2019-02-02,24,1,100.0,33.7784,-84.3914,3.284209060611107,26.9375
Atlanta,13-089-0002,2019-02-03,19,1,79.0,33.6878,-84.2905,11.297304120542412,17.721053
Atlanta,13-121-0056,2019-02-03,21,1,88.0,33.7784,-84.3914,3.284209060611107,24.238095
Atlanta,13-089-0002,2019-02-04,24,1,100.0,33.6878,-84.2905,11.297304120542412,12.741667
Atlanta,13-121-0056,2019-02-04,24,1,100.0,33.7784,-84.3914,3.284209060611107,20.583333
Atlanta,13-089-0002,2019-02-05,24,1,100.0,33.6878,-84.2905,11.297304120542412,13.691667
Atlanta,13-121-0056,2019-02-05,24,1,100.0,33.7784,-84.3914,3.284209060611107,16.258333
Atlanta,13-089-0002,2019-02-06,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.720833
Atlanta,13-089-0003,2019-02-06,24,1,100.0,33.698643,-84.272614,12.051165952298387,7.266667000000001
Atlanta,13-121-0056,2019-02-06,24,1,100.0,33.7784,-84.3914,3.284209060611107,13.641667
Atlanta,13-089-0002,2019-02-07,24,1,100.0,33.6878,-84.2905,11.297304120542412,5.333333
Atlanta,13-089-0003,2019-02-07,24,1,100.0,33.698643,-84.272614,12.051165952298387,4.166667
Atlanta,13-121-0056,2019-02-07,24,1,100.0,33.7784,-84.3914,3.284209060611107,11.316667
Atlanta,13-089-0002,2019-02-08,24,1,100.0,33.6878,-84.2905,11.297304120542412,5.083333
Atlanta,13-089-0003,2019-02-08,24,1,100.0,33.698643,-84.272614,12.051165952298387,10.679167
Atlanta,13-121-0056,2019-02-08,24,1,100.0,33.7784,-84.3914,3.284209060611107,10.416667
Atlanta,13-089-0002,2019-02-09,24,1,100.0,33.6878,-84.2905,11.297304120542412,5.662499999999999
Atlanta,13-089-0003,2019-02-09,24,1,100.0,33.698643,-84.272614,12.051165952298387,15.916666999999999
Atlanta,13-121-0056,2019-02-09,24,1,100.0,33.7784,-84.3914,3.284209060611107,14.741667
Atlanta,13-089-0002,2019-02-10,24,1,100.0,33.6878,-84.2905,11.297304120542412,3.666667
Atlanta,13-089-0003,2019-02-10,22,1,92.0,33.698643,-84.272614,12.051165952298387,12.068182
Atlanta,13-121-0056,2019-02-10,21,1,88.0,33.7784,-84.3914,3.284209060611107,13.166666999999999
Atlanta,13-089-0002,2019-02-11,21,1,88.0,33.6878,-84.2905,11.297304120542412,5.361905
Atlanta,13-089-0003,2019-02-11,24,1,100.0,33.698643,-84.272614,12.051165952298387,9.716667
Atlanta,13-121-0056,2019-02-11,24,1,100.0,33.7784,-84.3914,3.284209060611107,17.5875
Atlanta,13-089-0002,2019-02-12,24,1,100.0,33.6878,-84.2905,11.297304120542412,5.962500000000001
Atlanta,13-089-0003,2019-02-12,24,1,100.0,33.698643,-84.272614,12.051165952298387,8.7625
Atlanta,13-121-0056,2019-02-12,24,1,100.0,33.7784,-84.3914,3.284209060611107,13.175000000000002
Atlanta,13-089-0002,2019-02-13,24,1,100.0,33.6878,-84.2905,11.297304120542412,11.179167
Atlanta,13-089-0003,2019-02-13,24,1,100.0,33.698643,-84.272614,12.051165952298387,18.366667
Atlanta,13-121-0056,2019-02-13,24,1,100.0,33.7784,-84.3914,3.284209060611107,16.8875
Atlanta,13-089-0002,2019-02-14,24,1,100.0,33.6878,-84.2905,11.297304120542412,11.108333
Atlanta,13-089-0003,2019-02-14,24,1,100.0,33.698643,-84.272614,12.051165952298387,13.1875
Atlanta,13-121-0056,2019-02-14,24,1,100.0,33.7784,-84.3914,3.284209060611107,28.570833000000004
Atlanta,13-089-0003,2019-02-15,24,1,100.0,33.698643,-84.272614,12.051165952298387,12.858333
Atlanta,13-121-0056,2019-02-15,24,1,100.0,33.7784,-84.3914,3.284209060611107,15.5
Atlanta,13-089-0002,2019-02-16,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.495833
Atlanta,13-089-0003,2019-02-16,24,1,100.0,33.698643,-84.272614,12.051165952298387,9.004167
Atlanta,13-121-0056,2019-02-16,24,1,100.0,33.7784,-84.3914,3.284209060611107,10.9625
Atlanta,13-089-0002,2019-02-17,19,1,79.0,33.6878,-84.2905,11.297304120542412,4.252632
Atlanta,13-089-0003,2019-02-17,22,1,92.0,33.698643,-84.272614,12.051165952298387,7.759090999999999
Atlanta,13-121-0056,2019-02-17,21,1,88.0,33.7784,-84.3914,3.284209060611107,8.92381
Atlanta,13-089-0002,2019-02-18,24,1,100.0,33.6878,-84.2905,11.297304120542412,8.65
Atlanta,13-089-0003,2019-02-18,24,1,100.0,33.698643,-84.272614,12.051165952298387,16.254167
Atlanta,13-121-0056,2019-02-18,24,1,100.0,33.7784,-84.3914,3.284209060611107,13.095833
Atlanta,13-089-0002,2019-02-19,24,1,100.0,33.6878,-84.2905,11.297304120542412,7.474999999999999
Atlanta,13-089-0003,2019-02-19,24,1,100.0,33.698643,-84.272614,12.051165952298387,18.529167
Atlanta,13-121-0056,2019-02-19,24,1,100.0,33.7784,-84.3914,3.284209060611107,14.708333000000001
Atlanta,13-089-0002,2019-02-20,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.125
Atlanta,13-089-0003,2019-02-20,24,1,100.0,33.698643,-84.272614,12.051165952298387,17.079167
Atlanta,13-121-0056,2019-02-20,24,1,100.0,33.7784,-84.3914,3.284209060611107,13.404167
Atlanta,13-089-0002,2019-02-21,19,1,79.0,33.6878,-84.2905,11.297304120542412,11.210526
Atlanta,13-089-0003,2019-02-21,24,1,100.0,33.698643,-84.272614,12.051165952298387,15.15
Atlanta,13-121-0056,2019-02-21,24,1,100.0,33.7784,-84.3914,3.284209060611107,16.354167
Atlanta,13-089-0002,2019-02-22,24,1,100.0,33.6878,-84.2905,11.297304120542412,8.0875
Atlanta,13-089-0003,2019-02-22,24,1,100.0,33.698643,-84.272614,12.051165952298387,14.2125
Atlanta,13-121-0056,2019-02-22,24,1,100.0,33.7784,-84.3914,3.284209060611107,13.8125
Atlanta,13-089-0002,2019-02-23,24,1,100.0,33.6878,-84.2905,11.297304120542412,2.733333
Atlanta,13-089-0003,2019-02-23,24,1,100.0,33.698643,-84.272614,12.051165952298387,9.441667
Atlanta,13-121-0056,2019-02-23,24,1,100.0,33.7784,-84.3914,3.284209060611107,10.566667
Atlanta,13-089-0002,2019-02-24,19,1,79.0,33.6878,-84.2905,11.297304120542412,4.847368
Atlanta,13-089-0003,2019-02-24,22,1,92.0,33.698643,-84.272614,12.051165952298387,7.381817999999999
Atlanta,13-121-0056,2019-02-24,21,1,88.0,33.7784,-84.3914,3.284209060611107,11.280952
Atlanta,13-089-0002,2019-02-25,24,1,100.0,33.6878,-84.2905,11.297304120542412,12.4125
Atlanta,13-089-0003,2019-02-25,20,1,83.0,33.698643,-84.272614,12.051165952298387,18.805
Atlanta,13-121-0056,2019-02-25,24,1,100.0,33.7784,-84.3914,3.284209060611107,17.25
Atlanta,13-089-0002,2019-02-26,24,1,100.0,33.6878,-84.2905,11.297304120542412,14.083333000000001
Atlanta,13-089-0003,2019-02-26,24,1,100.0,33.698643,-84.272614,12.051165952298387,19.791667
Atlanta,13-121-0056,2019-02-26,24,1,100.0,33.7784,-84.3914,3.284209060611107,29.483333
Atlanta,13-089-0002,2019-02-27,24,1,100.0,33.6878,-84.2905,11.297304120542412,17.791667
Atlanta,13-089-0003,2019-02-27,24,1,100.0,33.698643,-84.272614,12.051165952298387,22.170833
Atlanta,13-121-0056,2019-02-27,24,1,100.0,33.7784,-84.3914,3.284209060611107,18.095833
Atlanta,13-089-0002,2019-02-28,21,1,88.0,33.6878,-84.2905,11.297304120542412,9.980952
Atlanta,13-089-0003,2019-02-28,24,1,100.0,33.698643,-84.272614,12.051165952298387,15.225
