model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_compound,days_heat_only,days_wind_only
four_weather_regimes,Atlanta,compound_vs_reference,2.113400588880584,0.8455385881559472,3.38126258960522,approximate_delete_one_year_jackknife_t,1.1112822801862359,2.9203080665584693,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,14,14,272.0452912573299,2.952138794960986,135,134,244
four_weather_regimes,Atlanta,heat_only_vs_reference,0.03296715969592451,-0.6046548772193332,0.6705891966111821,approximate_delete_one_year_jackknife_t,-0.4701810648881265,0.5340011923993307,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,14,14,272.0452912573299,2.952138794960986,135,134,244
four_weather_regimes,Atlanta,wind_only_vs_reference,1.895131911091542,1.363554671306869,2.4267091508762153,approximate_delete_one_year_jackknife_t,1.451290621149138,2.242288694837963,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,14,14,272.0452912573299,2.952138794960986,135,134,244
four_weather_regimes,Atlanta,compound_additive_interaction,0.18530151809311718,-0.5298466915880105,0.9004497277742447,approximate_delete_one_year_jackknife_t,-0.24912517832440736,0.8259806745543907,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,14,14,272.0452912573299,2.952138794960986,135,134,244
four_weather_regimes,Chicago,compound_vs_reference,4.680153063144813,4.175186792148673,5.1851193341409525,approximate_delete_one_year_jackknife_t,4.413986182498867,5.145478899231767,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,14,14,145.8973842370793,3.825648928697254,102,155,289
four_weather_regimes,Chicago,heat_only_vs_reference,0.4707018113650836,-0.7121490072978305,1.6535526300279977,approximate_delete_one_year_jackknife_t,-0.14031703609716306,1.273008102594745,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,14,14,145.8973842370793,3.825648928697254,102,155,289
four_weather_regimes,Chicago,wind_only_vs_reference,4.608290770290803,3.906012322381371,5.310569218200235,approximate_delete_one_year_jackknife_t,4.062527094868011,5.014276002416538,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,14,14,145.8973842370793,3.825648928697254,102,155,289
four_weather_regimes,Chicago,compound_additive_interaction,-0.3988395185110738,-1.9602592922006015,1.1625802551784539,approximate_delete_one_year_jackknife_t,-1.3781338526834697,0.8156366708855747,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,14,14,145.8973842370793,3.825648928697254,102,155,289
four_weather_regimes,Dallas,compound_vs_reference,1.9880736641614667,0.587906859598164,3.3882404687247694,approximate_delete_one_year_jackknife_t,0.7601083275531855,2.9383769421397727,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,14,14,154.25672588453818,2.5172118922686253,86,217,297
four_weather_regimes,Dallas,heat_only_vs_reference,-1.0523919195029676,-2.3558863470269644,0.2511025080210294,approximate_delete_one_year_jackknife_t,-1.9274836770237058,-0.09305208979146773,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,14,14,154.25672588453818,2.5172118922686253,86,217,297
four_weather_regimes,Dallas,wind_only_vs_reference,3.0505599936663277,2.535042697233453,3.5660772900992024,approximate_delete_one_year_jackknife_t,2.6514740687204603,3.4518744329304165,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,14,14,154.25672588453818,2.5172118922686253,86,217,297
four_weather_regimes,Dallas,compound_additive_interaction,-0.010094410001893372,-0.682500365474379,0.6623115454705922,approximate_delete_one_year_jackknife_t,-0.6710615829223534,0.46140919384333934,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,14,14,154.25672588453818,2.5172118922686253,86,217,297
four_weather_regimes,Denver,compound_vs_reference,1.264556257361684,0.09995481232068704,2.429157702402681,approximate_delete_one_year_jackknife_t,0.34537544642385987,2.050176350600749,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,14,14,248.9016415074399,3.350882460691627,49,215,366
