definition,city,heat_c,wind_kmh,threshold_days,heat_quantile,wind_quantile,min_days,start_separation
p85_p30_min2_sep7,Atlanta,31.975,6.772916666666667,856,0.85,0.3,2,7
p85_p30_min2_sep7,Chicago,27.6,10.735416666666666,856,0.85,0.3,2,7
p85_p30_min2_sep7,Dallas,35.775,9.189583333333333,856,0.85,0.3,2,7
p85_p30_min2_sep7,Denver,33.3,7.066666666666666,856,0.85,0.3,2,7
p85_p30_min2_sep7,Houston,34.0,8.204166666666667,856,0.85,0.3,2,7
p85_p30_min2_sep7,Los Angeles,33.1,6.406249999999999,856,0.85,0.3,2,7
p85_p30_min2_sep7,New York,29.7,8.154166666666667,856,0.85,0.3,2,7
p85_p30_min2_sep7,Philadelphia,31.7,7.8500000000000005,856,0.85,0.3,2,7
p85_p30_min2_sep7,Phoenix,42.7,6.729166666666667,856,0.85,0.3,2,7
p85_p30_min2_sep7,San Diego,30.4,6.660416666666667,856,0.85,0.3,2,7
p85_p30_min2_sep7,Seattle,25.1,5.8500000000000005,856,0.85,0.3,2,7
