definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p85_p30_min2_sep7,neither,Atlanta,2019,121,40,45,52,19,7
p85_p30_min2_sep7,neither,Atlanta,2020,57,18,19,18,6,2
p85_p30_min2_sep7,neither,Atlanta,2021,39,15,13,15,5,2
p85_p30_min2_sep7,neither,Atlanta,2022,24,8,9,8,3,1
p85_p30_min2_sep7,neither,Atlanta,2023,62,21,21,21,7,4
p85_p30_min2_sep7,neither,Atlanta,2024,121,39,41,44,15,6
p85_p30_min2_sep7,neither,Atlanta,2025,73,24,25,27,9,4
p85_p30_min2_sep7,neither,Chicago,2019,12,6,4,6,2,1
p85_p30_min2_sep7,neither,Chicago,2020,19,6,6,6,2,1
p85_p30_min2_sep7,neither,Chicago,2021,20,10,6,10,3,1
p85_p30_min2_sep7,neither,Chicago,2022,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Chicago,2023,10,5,6,5,3,2
p85_p30_min2_sep7,neither,Chicago,2024,64,22,18,22,6,2
p85_p30_min2_sep7,neither,Chicago,2025,39,16,13,16,5,3
p85_p30_min2_sep7,neither,Dallas,2019,62,20,16,20,5,2
p85_p30_min2_sep7,neither,Dallas,2020,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Dallas,2021,10,5,4,5,2,1
p85_p30_min2_sep7,neither,Dallas,2022,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Dallas,2023,18,6,6,6,2,1
p85_p30_min2_sep7,neither,Dallas,2024,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Dallas,2025,39,12,13,12,4,2
p85_p30_min2_sep7,neither,Denver,2019,14,5,3,5,1,1
p85_p30_min2_sep7,neither,Denver,2020,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Denver,2021,20,10,4,10,2,1
p85_p30_min2_sep7,neither,Denver,2022,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Denver,2023,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Denver,2024,18,9,4,9,2,1
p85_p30_min2_sep7,neither,Denver,2025,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Houston,2019,122,41,15,41,5,3
p85_p30_min2_sep7,neither,Houston,2020,49,23,7,23,3,2
p85_p30_min2_sep7,neither,Houston,2021,116,38,14,38,4,1
p85_p30_min2_sep7,neither,Houston,2022,60,20,6,40,4,2
p85_p30_min2_sep7,neither,Houston,2023,72,36,10,36,5,3
p85_p30_min2_sep7,neither,Houston,2024,121,36,15,62,7,3
p85_p30_min2_sep7,neither,Houston,2025,40,20,4,20,2,1
p85_p30_min2_sep7,neither,Los Angeles,2019,117,41,17,41,6,2
p85_p30_min2_sep7,neither,Los Angeles,2020,199,77,26,108,14,6
p85_p30_min2_sep7,neither,Los Angeles,2021,166,52,22,52,7,2
p85_p30_min2_sep7,neither,Los Angeles,2022,84,28,12,49,7,2
p85_p30_min2_sep7,neither,Los Angeles,2023,166,62,24,62,9,4
p85_p30_min2_sep7,neither,Los Angeles,2024,94,31,15,31,5,3
p85_p30_min2_sep7,neither,Los Angeles,2025,100,33,15,33,5,2
p85_p30_min2_sep7,neither,New York,2019,163,52,19,52,6,3
p85_p30_min2_sep7,neither,New York,2020,98,36,11,54,6,3
p85_p30_min2_sep7,neither,New York,2021,243,90,30,90,11,4
p85_p30_min2_sep7,neither,New York,2022,34,17,4,17,2,1
p85_p30_min2_sep7,neither,New York,2023,157,47,21,47,6,1
p85_p30_min2_sep7,neither,New York,2024,174,56,22,72,9,3
p85_p30_min2_sep7,neither,New York,2025,138,39,18,70,9,4
p85_p30_min2_sep7,neither,Philadelphia,2019,34,12,12,12,4,2
p85_p30_min2_sep7,neither,Philadelphia,2020,16,8,4,8,2,1
p85_p30_min2_sep7,neither,Philadelphia,2021,101,44,21,44,9,3
p85_p30_min2_sep7,neither,Philadelphia,2022,8,4,2,4,1,1
p85_p30_min2_sep7,neither,Philadelphia,2023,42,13,10,13,3,2
p85_p30_min2_sep7,neither,Philadelphia,2024,12,4,3,4,1,1
p85_p30_min2_sep7,neither,Philadelphia,2025,101,31,23,31,7,3
p85_p30_min2_sep7,neither,Phoenix,2019,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Phoenix,2020,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Phoenix,2021,35,15,7,15,3,2
p85_p30_min2_sep7,neither,Phoenix,2022,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Phoenix,2023,8,4,2,4,1,1
p85_p30_min2_sep7,neither,Phoenix,2024,0,0,0,0,0,0
p85_p30_min2_sep7,neither,Phoenix,2025,0,0,0,0,0,0
p85_p30_min2_sep7,neither,San Diego,2019,90,32,23,32,8,3
p85_p30_min2_sep7,neither,San Diego,2020,135,51,35,54,14,5
p85_p30_min2_sep7,neither,San Diego,2021,12,4,3,4,1,1
p85_p30_min2_sep7,neither,San Diego,2022,18,9,6,9,3,2
p85_p30_min2_sep7,neither,San Diego,2023,118,40,30,40,10,4
