model,contrast,status,estimate_ppb,ci_lower,ci_upper,ci_method,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,n_cities,n_estimable_cities,positive_cities,valid_bootstrap,requested_bootstrap,bootstrap_failure_fraction,leave_city_min,leave_city_max,year_start,year_end,station_days,city_days,episode_city_days,episodes,synchronized_conditional_lower,synchronized_conditional_upper,synchronized_valid_bootstrap
calendar_only,episode_vs_reference,estimable,4.777090182666776,3.383830048860302,6.17035031647325,approximate_cross_city_t_df_10,3.508220520872977,6.052892885171514,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,4.477140825700472,5.048849689339859,2019,2024,69326,14122,577,195,3.5012021127039588,6.084723706239708,4999.0
calendar_only,heat_only_vs_reference,estimable,2.0457437310525957,0.7213722520292376,3.3701152100759537,approximate_cross_city_t_df_10,0.9263488985428671,3.2014068773024476,conditional_on_estimability,11,11,9,5000,5000,0.0,1.7313894104119965,2.355266970616139,2019,2024,69326,14122,577,195,0.8785973933689255,3.189627045258504,5000.0
calendar_only,wind_only_vs_reference,estimable,3.041425209869105,2.0609458896391892,4.021904530099021,approximate_cross_city_t_df_10,2.21228248649473,3.880756762237226,conditional_on_estimability,11,11,11,5000,5000,0.0,2.8200950115809964,3.255891514306404,2019,2024,69326,14122,577,195,2.2123750200525607,3.888322979185028,5000.0
calendar_only,other_compound_vs_reference,estimable,3.938460565263607,2.446462786901855,5.430458343625359,approximate_cross_city_t_df_10,2.7310955404956054,5.355283884039744,conditional_on_estimability,11,11,11,5000,5000,0.0,3.5232784141216245,4.170738669647795,2019,2024,69326,14122,577,195,2.6735812996246215,5.407413341467102,5000.0
calendar_only,episode_vs_heat_only,estimable,2.7313464516141805,1.7021668759446,3.760526027283761,approximate_cross_city_t_df_10,1.7570253664798794,3.7128015835836496,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.487222444575603,2.990694174493102,2019,2024,69326,14122,577,195,1.686863253675319,3.778586213178948,4999.0
calendar_only,episode_vs_wind_only,estimable,1.7356649727976714,0.3838393755935139,3.0874905700018287,approximate_cross_city_t_df_10,0.4916923525176478,2.9705835152593463,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,1.3884808132987754,2.07045935490292,2019,2024,69326,14122,577,195,0.44116844034403735,2.943102701919287,4999.0
weather_adjusted,episode_vs_reference,estimable,3.3307090464183164,2.166732033503724,4.494686059332909,approximate_cross_city_t_df_10,2.3690959062231216,4.473570636368654,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.9108866151292427,3.4745335708927163,2019,2024,69326,14122,577,195,2.3126623851525974,4.508589832798386,4999.0
weather_adjusted,heat_only_vs_reference,estimable,0.5335003042560115,-0.30521022346988935,1.3722108319819122,approximate_cross_city_t_df_10,-0.15491480057527443,1.330114321969458,conditional_on_estimability,11,11,8,5000,5000,0.0,0.24073921628138564,0.7090381232796318,2019,2024,69326,14122,577,195,-0.2773597801497667,1.3357731604021006,5000.0
weather_adjusted,wind_only_vs_reference,estimable,2.8708875398810947,2.094966935282985,3.646808144479204,approximate_cross_city_t_df_10,2.2164055522627453,3.525952560770619,conditional_on_estimability,11,11,11,5000,5000,0.0,2.69703542577679,3.0366775237896158,2019,2024,69326,14122,577,195,2.1965010402464356,3.52807617344033,5000.0
weather_adjusted,other_compound_vs_reference,estimable,2.7914236020001897,1.448681763281277,4.134165440719102,approximate_cross_city_t_df_10,1.7487019689538237,4.093250821187998,conditional_on_estimability,11,11,11,5000,5000,0.0,2.2984150367309524,2.9677267488658936,2019,2024,69326,14122,577,195,1.6734879087416217,4.189633156921639,5000.0
weather_adjusted,episode_vs_heat_only,estimable,2.797208742162304,2.058517194328112,3.535900289996496,approximate_cross_city_t_df_10,2.0584434706608468,3.54328849034759,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.630238784564769,2.9588783063838506,2019,2024,69326,14122,577,195,2.031711321862863,3.592865265275821,4999.0
weather_adjusted,episode_vs_wind_only,estimable,0.45982150653722137,-0.48462331144689136,1.404266324521334,approximate_cross_city_t_df_10,-0.3776194891061499,1.4382541149239563,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,0.10855022610311953,0.6924352483409589,2019,2024,69326,14122,577,195,-0.4854900397454239,1.4061404743393622,4999.0
