city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
Philadelphia,2023,philadelphia_2023-06-01,2023-06-01,2023-06-02,2,2,10,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,2,2
Philadelphia,2023,philadelphia_2023-07-05,2023-07-05,2023-07-07,3,3,14,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,0,3
Philadelphia,2023,philadelphia_2023-09-07,2023-09-07,2023-09-08,2,2,8,34-007-0002;42-101-0048;42-101-0075;42-101-0076,2,2
Philadelphia,2024,philadelphia_2024-07-07,2024-07-07,2024-07-08,2,2,8,42-045-0002;42-101-0048;42-101-0075;42-101-0076,1,2
Philadelphia,2025,philadelphia_2025-06-29,2025-06-29,2025-06-30,2,2,10,34-007-0010;42-045-0002;42-101-0048;42-101-0075;42-101-0076,2,2
Philadelphia,2025,philadelphia_2025-07-11,2025-07-11,2025-07-12,2,2,8,34-007-0010;42-045-0002;42-101-0048;42-101-0075,2,2
Philadelphia,2025,philadelphia_2025-07-28,2025-07-28,2025-07-30,3,3,15,34-007-0010;42-045-0002;42-101-0048;42-101-0075;42-101-0076,2,3
Philadelphia,2025,philadelphia_2025-08-12,2025-08-12,2025-08-15,4,4,17,34-007-0010;42-045-0002;42-101-0048;42-101-0075;42-101-0076,4,4
Phoenix,2020,phoenix_2020-09-16,2020-09-16,2020-09-17,2,2,8,04-013-0019;04-013-3002;04-013-4020;04-013-9997,2,2
Phoenix,2021,phoenix_2021-07-07,2021-07-07,2021-07-08,2,2,10,04-013-0019;04-013-3002;04-013-4020;04-013-4021;04-013-9997,2,2
Phoenix,2021,phoenix_2021-08-04,2021-08-04,2021-08-05,2,2,10,04-013-0019;04-013-3002;04-013-4020;04-013-4021;04-013-9997,1,2
Phoenix,2021,phoenix_2021-08-25,2021-08-25,2021-08-26,2,2,10,04-013-0019;04-013-3002;04-013-4020;04-013-4021;04-013-9997,1,2
Phoenix,2021,phoenix_2021-09-12,2021-09-12,2021-09-13,2,2,10,04-013-0019;04-013-3002;04-013-4020;04-013-4021;04-013-9997,1,2
Phoenix,2023,phoenix_2023-07-24,2023-07-24,2023-07-25,2,2,8,04-013-3002;04-013-4020;04-013-4021;04-013-9997,0,2
Phoenix,2024,phoenix_2024-08-02,2024-08-02,2024-08-03,2,2,8,04-013-0019;04-013-3002;04-013-4021;04-013-9997,2,2
Phoenix,2024,phoenix_2024-09-26,2024-09-26,2024-09-27,2,2,8,04-013-3002;04-013-4020;04-013-4021;04-013-9997,2,2
Phoenix,2025,phoenix_2025-08-22,2025-08-22,2025-08-23,2,2,9,04-013-0019;04-013-3002;04-013-4020;04-013-4021;04-013-9997,2,2
San Diego,2019,san_diego_2019-07-24,2019-07-24,2019-07-25,2,2,4,06-073-0001;06-073-1022,2,2
San Diego,2019,san_diego_2019-08-14,2019-08-14,2019-08-15,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2019,san_diego_2019-08-25,2019-08-25,2019-08-26,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,1,2
San Diego,2019,san_diego_2019-09-02,2019-09-02,2019-09-05,4,4,16,06-073-0001;06-073-1016;06-073-1022;06-073-1026,4,4
San Diego,2019,san_diego_2019-09-13,2019-09-13,2019-09-15,3,3,12,06-073-0001;06-073-1016;06-073-1022;06-073-1026,3,3
San Diego,2019,san_diego_2019-10-06,2019-10-06,2019-10-07,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,1,2
San Diego,2020,san_diego_2020-05-06,2020-05-06,2020-05-07,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2020,san_diego_2020-07-05,2020-07-05,2020-07-06,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2020,san_diego_2020-08-17,2020-08-17,2020-08-21,5,5,20,06-073-0001;06-073-1016;06-073-1022;06-073-1026,5,5
San Diego,2020,san_diego_2020-09-04,2020-09-04,2020-09-05,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,1,2
San Diego,2020,san_diego_2020-09-22,2020-09-22,2020-09-24,3,3,10,06-073-0001;06-073-1016;06-073-1022;06-073-1026,3,3
San Diego,2020,san_diego_2020-10-01,2020-10-01,2020-10-06,6,6,23,06-073-0001;06-073-1016;06-073-1022;06-073-1026,3,6
San Diego,2020,san_diego_2020-10-14,2020-10-14,2020-10-16,3,3,12,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,3
San Diego,2021,san_diego_2021-08-27,2021-08-27,2021-08-28,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2021,san_diego_2021-10-01,2021-10-01,2021-10-02,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,1,2
San Diego,2022,san_diego_2022-06-26,2022-06-26,2022-06-28,3,3,10,06-073-0001;06-073-1016;06-073-1022;06-073-1026,3,3
San Diego,2022,san_diego_2022-08-09,2022-08-09,2022-08-10,2,2,7,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2022,san_diego_2022-09-01,2022-09-01,2022-09-03,3,3,11,06-073-0001;06-073-1016;06-073-1022;06-073-1026,1,3
San Diego,2022,san_diego_2022-09-27,2022-09-27,2022-09-28,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2023,san_diego_2023-07-24,2023-07-24,2023-07-27,4,4,16,06-073-0001;06-073-1016;06-073-1022;06-073-1026,4,4
San Diego,2023,san_diego_2023-08-06,2023-08-06,2023-08-08,3,3,11,06-073-0001;06-073-1016;06-073-1022;06-073-1026,3,3
San Diego,2023,san_diego_2023-08-28,2023-08-28,2023-08-30,3,3,12,06-073-0001;06-073-1016;06-073-1022;06-073-1026,3,3
San Diego,2023,san_diego_2023-09-10,2023-09-10,2023-09-11,2,2,8,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,2
San Diego,2023,san_diego_2023-10-04,2023-10-04,2023-10-07,4,4,16,06-073-0001;06-073-1016;06-073-1022;06-073-1026,2,4
San Diego,2024,san_diego_2024-06-22,2024-06-22,2024-06-23,2,2,10,06-073-0001;06-073-1016;06-073-1022;06-073-1025;06-073-1026,2,2
San Diego,2024,san_diego_2024-08-13,2024-08-13,2024-08-15,3,3,15,06-073-0001;06-073-1016;06-073-1022;06-073-1025;06-073-1026,2,3
San Diego,2024,san_diego_2024-09-05,2024-09-05,2024-09-07,3,3,15,06-073-0001;06-073-1016;06-073-1022;06-073-1025;06-073-1026,2,3
San Diego,2024,san_diego_2024-10-01,2024-10-01,2024-10-02,2,2,9,06-073-0001;06-073-1016;06-073-1022;06-073-1025;06-073-1026,1,2
San Diego,2025,san_diego_2025-08-20,2025-08-20,2025-08-23,4,4,16,06-073-1016;06-073-1022;06-073-1025;06-073-1026,3,4
San Diego,2025,san_diego_2025-08-30,2025-08-30,2025-08-31,2,2,8,06-073-1016;06-073-1022;06-073-1025;06-073-1026,1,2
Seattle,2019,seattle_2019-08-05,2019-08-05,2019-08-06,2,2,4,53-033-0030;53-033-0080,1,2
Seattle,2019,seattle_2019-08-12,2019-08-12,2019-08-15,4,4,8,53-033-0030;53-033-0080,3,4
Seattle,2019,seattle_2019-09-02,2019-09-02,2019-09-03,2,2,4,53-033-0030;53-033-0080,2,2
Seattle,2020,seattle_2020-08-27,2020-08-27,2020-08-28,2,2,4,53-033-0030;53-033-0080,2,2
Seattle,2021,seattle_2021-07-10,2021-07-10,2021-07-13,4,4,8,53-033-0030;53-033-0080,2,4
Seattle,2021,seattle_2021-07-18,2021-07-18,2021-07-19,2,2,3,53-033-0030;53-033-0080,0,2
Seattle,2021,seattle_2021-07-27,2021-07-27,2021-07-28,2,2,4,53-033-0030;53-033-0080,2,2
Seattle,2022,seattle_2022-07-29,2022-07-29,2022-07-31,3,3,6,53-033-0030;53-033-0080,3,3
Seattle,2022,seattle_2022-08-14,2022-08-14,2022-08-15,2,2,4,53-033-0030;53-033-0080,1,2
Seattle,2023,seattle_2023-07-12,2023-07-12,2023-07-16,5,5,10,53-033-0030;53-033-0080,4,5
Seattle,2023,seattle_2023-07-27,2023-07-27,2023-07-28,2,2,4,53-033-0030;53-033-0080,1,2
Seattle,2023,seattle_2023-08-16,2023-08-16,2023-08-17,2,2,4,53-033-0030;53-033-0080,2,2
Seattle,2023,seattle_2023-09-15,2023-09-15,2023-09-16,2,2,4,53-033-0030;53-033-0080,2,2
Seattle,2024,seattle_2024-07-11,2024-07-11,2024-07-12,2,2,4,53-033-0030;53-033-0080,1,2
Seattle,2024,seattle_2024-08-02,2024-08-02,2024-08-04,3,3,6,53-033-0030;53-033-0080,3,3
Seattle,2025,seattle_2025-06-09,2025-06-09,2025-06-10,2,2,5,53-033-0030;53-033-0057;53-033-0080,1,2
Seattle,2025,seattle_2025-07-30,2025-07-30,2025-08-01,3,3,5,53-033-0030;53-033-0057;53-033-0080,3,3
Seattle,2025,seattle_2025-08-24,2025-08-24,2025-08-26,3,3,9,53-033-0030;53-033-0057;53-033-0080,3,3
