city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
Chicago,2023,chicago_2023-07-24,2023-07-24,2023-07-25,2,2,8,17-031-0076;17-031-0219;17-031-3103;17-031-4002,1,2
Chicago,2024,chicago_2024-07-30,2024-07-30,2024-08-01,3,3,12,17-031-0076;17-031-0219;17-031-3103;17-031-4002,3,3
Chicago,2024,chicago_2024-08-13,2024-08-13,2024-08-14,2,2,8,17-031-0076;17-031-0219;17-031-3103;17-031-4002,2,2
Chicago,2024,chicago_2024-08-30,2024-08-30,2024-08-31,2,2,8,17-031-0076;17-031-0219;17-031-3103;17-031-4002,2,2
Chicago,2024,chicago_2024-09-19,2024-09-19,2024-09-21,3,3,10,17-031-0076;17-031-0219;17-031-3103;17-031-4002,2,3
Chicago,2025,chicago_2025-06-29,2025-06-29,2025-07-04,6,6,18,17-031-0219;17-031-3103;17-031-4002,3,6
Chicago,2025,chicago_2025-07-14,2025-07-14,2025-07-15,2,2,8,17-031-0076;17-031-0219;17-031-3103;17-031-4002,1,2
Chicago,2025,chicago_2025-07-26,2025-07-26,2025-07-29,4,4,12,17-031-0076;17-031-0219;17-031-3103,2,4
Chicago,2025,chicago_2025-08-15,2025-08-15,2025-08-16,2,2,8,17-031-0076;17-031-0219;17-031-3103;17-031-4002,1,2
Dallas,2019,dallas_2019-07-31,2019-07-31,2019-08-01,2,2,8,48-113-0069;48-113-0075;48-113-0087;48-113-1067,2,2
Dallas,2019,dallas_2019-09-02,2019-09-02,2019-09-06,5,5,18,48-113-0069;48-113-0075;48-113-0087;48-113-1067,5,5
Dallas,2019,dallas_2019-09-13,2019-09-13,2019-09-16,4,4,16,48-113-0069;48-113-0075;48-113-0087;48-113-1067,4,4
Dallas,2021,dallas_2021-06-13,2021-06-13,2021-06-14,2,2,8,48-113-0069;48-113-0075;48-113-0087;48-113-1067,2,2
Dallas,2021,dallas_2021-07-26,2021-07-26,2021-07-31,6,6,20,48-113-0069;48-113-0075;48-113-0087;48-113-1067,5,6
Dallas,2021,dallas_2021-08-25,2021-08-25,2021-08-26,2,2,7,48-113-0069;48-113-0075;48-113-0087;48-113-1067,2,2
Dallas,2022,dallas_2022-06-17,2022-06-17,2022-06-18,2,2,8,48-113-0069;48-113-0075;48-113-0087;48-113-1067,0,2
Dallas,2022,dallas_2022-08-10,2022-08-10,2022-08-11,2,2,4,48-113-0069;48-113-1067,0,2
Dallas,2022,dallas_2022-09-20,2022-09-20,2022-09-22,3,3,9,48-113-0069;48-113-0087;48-113-1067,3,3
Dallas,2023,dallas_2023-07-29,2023-07-29,2023-07-31,3,3,9,48-113-0069;48-113-0075;48-113-0087,2,3
Dallas,2023,dallas_2023-08-23,2023-08-23,2023-08-26,4,4,16,48-113-0069;48-113-0075;48-113-0087;48-113-1067,0,4
Dallas,2024,dallas_2024-07-10,2024-07-10,2024-07-11,2,2,8,48-113-0069;48-113-0075;48-113-0087;48-113-1067,1,2
Dallas,2024,dallas_2024-08-02,2024-08-02,2024-08-08,7,7,21,48-113-0069;48-113-0075;48-113-1067,2,7
Dallas,2025,dallas_2025-07-29,2025-07-29,2025-07-31,3,3,9,48-113-0075;48-113-0087;48-113-1067,3,3
Dallas,2025,dallas_2025-08-18,2025-08-18,2025-08-19,2,2,6,48-113-0075;48-113-0087;48-113-1067,1,2
Denver,2019,denver_2019-08-05,2019-08-05,2019-08-06,2,2,10,08-001-3001;08-031-0002;08-031-0026;08-031-0027;08-031-0028,2,2
Denver,2019,denver_2019-08-18,2019-08-18,2019-08-19,2,2,10,08-001-3001;08-031-0002;08-031-0026;08-031-0027;08-031-0028,1,2
Denver,2021,denver_2021-07-26,2021-07-26,2021-07-27,2,2,8,08-001-3001;08-031-0002;08-031-0027;08-031-0028,2,2
Denver,2021,denver_2021-08-23,2021-08-23,2021-08-24,2,2,10,08-001-3001;08-031-0002;08-031-0026;08-031-0027;08-031-0028,1,2
Denver,2022,denver_2022-08-08,2022-08-08,2022-08-09,2,2,8,08-031-0002;08-031-0026;08-031-0027;08-031-0028,1,2
Denver,2024,denver_2024-07-23,2024-07-23,2024-07-24,2,2,10,08-001-3001;08-031-0002;08-031-0026;08-031-0027;08-031-0028,1,2
Denver,2025,denver_2025-07-08,2025-07-08,2025-07-09,2,2,9,08-001-3001;08-031-0002;08-031-0026;08-031-0027;08-031-0028,2,2
