definition,comparator,city,year,episode_id,weather_days,observed_city_days,observed_station_days,supported_city_days,supported_station_days,all_weather_days_have_observation,all_weather_days_have_supported_site,all_observed_station_days_supported
p80_p30_min3_sep7,neither,Atlanta,2019,atlanta_2019-07-27,6,6,18,5,14,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2019,atlanta_2019-08-10,5,5,15,3,9,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2019,atlanta_2019-08-17,3,3,9,2,6,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2019,atlanta_2019-09-08,5,5,15,3,9,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2019,atlanta_2019-09-29,5,5,15,4,12,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2020,atlanta_2020-07-14,10,10,30,9,27,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2020,atlanta_2020-08-05,5,5,15,4,12,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2021,atlanta_2021-07-26,4,4,12,4,12,True,True,True
p80_p30_min3_sep7,neither,Atlanta,2021,atlanta_2021-08-12,3,3,9,3,9,True,True,True
p80_p30_min3_sep7,neither,Atlanta,2021,atlanta_2021-08-23,3,3,9,3,8,True,True,False
p80_p30_min3_sep7,neither,Atlanta,2022,atlanta_2022-07-02,7,7,20,5,14,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2023,atlanta_2023-07-25,5,5,15,2,6,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2024,atlanta_2024-07-04,4,4,12,3,9,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2024,atlanta_2024-07-12,4,4,12,2,6,True,False,False
p80_p30_min3_sep7,neither,Atlanta,2024,atlanta_2024-08-27,7,7,21,7,21,True,True,True
p80_p30_min3_sep7,neither,Atlanta,2025,atlanta_2025-06-22,4,4,12,4,12,True,True,True
p80_p30_min3_sep7,neither,Atlanta,2025,atlanta_2025-07-29,3,3,9,3,9,True,True,True
p80_p30_min3_sep7,neither,Atlanta,2025,atlanta_2025-08-15,4,4,12,4,12,True,True,True
p80_p30_min3_sep7,neither,Chicago,2020,chicago_2020-07-05,4,4,16,3,12,True,False,False
p80_p30_min3_sep7,neither,Chicago,2020,chicago_2020-08-20,3,3,9,1,3,True,False,False
p80_p30_min3_sep7,neither,Chicago,2021,chicago_2021-07-25,4,4,13,3,10,True,False,False
p80_p30_min3_sep7,neither,Chicago,2021,chicago_2021-08-18,3,3,9,0,0,True,False,False
p80_p30_min3_sep7,neither,Chicago,2024,chicago_2024-07-30,3,3,12,3,12,True,True,True
p80_p30_min3_sep7,neither,Chicago,2024,chicago_2024-09-19,3,3,10,2,6,True,False,False
p80_p30_min3_sep7,neither,Chicago,2025,chicago_2025-06-29,6,6,18,3,8,True,False,False
p80_p30_min3_sep7,neither,Chicago,2025,chicago_2025-07-26,4,4,12,2,6,True,False,False
p80_p30_min3_sep7,neither,Dallas,2019,dallas_2019-09-02,5,5,18,5,17,True,True,False
p80_p30_min3_sep7,neither,Dallas,2019,dallas_2019-09-13,4,4,16,4,15,True,True,False
p80_p30_min3_sep7,neither,Dallas,2021,dallas_2021-07-26,6,6,20,6,20,True,True,True
p80_p30_min3_sep7,neither,Dallas,2021,dallas_2021-08-31,3,3,9,3,9,True,True,True
p80_p30_min3_sep7,neither,Dallas,2022,dallas_2022-09-20,3,3,9,3,8,True,True,False
