city,date,no2_ppb,n_available_sites,temperature_2m_max,wind_speed_10m_mean,relative_humidity_2m_mean,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum,year,month,weekday,warm,hot,calm,episode_id,pure_wind_run_id,pure_wind_run_days,low_wind_run_days,phase,regime,regime_factorial,persistent_wind_only,wind_duration_class,met_relative_humidity_2m_mean_0,met_relative_humidity_2m_mean_1,met_relative_humidity_2m_mean_2,met_precipitation_sum_0,met_precipitation_sum_1,met_precipitation_sum_2,met_shortwave_radiation_sum_0,met_shortwave_radiation_sum_1,met_shortwave_radiation_sum_2,wind_adjust_0,wind_adjust_1,wind_adjust_2,met_wind_sin,met_wind_cos
Atlanta,2019-04-01,14.189583,2,14.9,12.2,43.04166666666666,61.89314048807073,0.0,25.758,2019,4,0,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.05009199494123327,-0.9207391562831979,-0.07930481480862925,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.5449121137785983,0.7805339675717362,0.18508107942987298,2.7613679277217,-10.765261462995458,11.060876401130447,0.8820704696504051,0.47111748701434736
Atlanta,2019-04-02,18.366666499999997,2,16.0,9.3125,43.91666666666666,20.668166251712123,0.0,18.738,2019,4,1,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.021320829762445245,-0.9470954605986825,-0.07628812776219562,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.3082587897438696,-0.23040631058089098,-0.11175772070040368,1.1940829540703588,-5.098936688442879,5.678338900470934,0.3529550530637537,0.9356402783745272
Atlanta,2019-04-03,19.525,2,21.4,6.775,51.375,156.81985403510473,0.0,25.254,2019,4,2,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.5129044197743303,-1.0719134458366117,-0.05730236694887846,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.5501557330290799,0.8081854540063352,0.12753080984833276,-0.18322808338082008,-0.11943915929061144,0.9482301877701506,0.39362338874701663,-0.9192717921438224
Atlanta,2019-04-04,13.270833499999998,2,20.7,12.266666666666666,60.5,144.3920786124412,3.5,19.9836,2019,4,3,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6792564993748375,-0.8537587067929953,-0.05906587729906091,0.3584184114168547,0.6689143680317561,-0.021407624757730163,0.06870085775588988,0.10000954006365043,-0.12366336413674048,2.7975534393788744,-10.896085700214567,11.185148551217821,0.582235379265364,-0.8130202722759856
Atlanta,2019-04-05,9.35,2,23.4,11.245833333333332,78.75,204.08536639178055,8.4,13.1796,2019,4,4,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.555719448680045,0.757262566217963,-0.009904248865875731,-0.5088482252169776,1.0675645861569758,0.047691659476226604,0.748413738324718,-1.119359114838488,-0.07110689886814127,2.2434627921283994,-8.892839567796985,9.282231253004861,-0.4080973049770415,-0.9129384369553489
Atlanta,2019-04-06,6.7979165,2,22.3,10.3,82.25,108.25291488963578,0.8999999999999999,11.3724,2019,4,5,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.6233676888791152,0.8007768026212649,0.11633224925698923,0.9373877685957732,-0.09321256305955677,-0.0070077255251404565,0.6747467027453765,-1.1960912146063964,-0.07172496212305492,1.730080845492247,-7.036770702250906,7.519120123640205,0.9496831929453927,-0.31321212147208466
Atlanta,2019-04-07,6.7107655,2,26.6,9.795833333333333,75.70833333333333,157.16912706947448,2.6,16.1568,2019,4,6,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.3935512608231336,0.588444660734497,-0.07579013816966883,0.6728090450210094,0.46945221733696596,-0.017756902937609436,0.652649365953146,-0.7801954568788785,-0.08405441951513215,1.4564279135848692,-6.047412408281405,6.579311988604415,0.38801226164634217,-0.9216542110857469
Atlanta,2019-04-08,6.46875,2,24.2,11.708333333333334,84.70833333333333,179.96675606358892,18.7,11.6388,2019,4,0,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.607455897735318,0.7509837472398563,0.23186749481341573,-0.7544385548775547,1.0150595233314297,0.2570210968429658,0.691088030181293,-1.1901518208262774,-0.07128124071627871,2.494499779250044,-9.800432713504547,10.144369294236045,0.000580216114141875,-0.9999998316746163
Atlanta,2019-04-09,10.437499999999998,2,21.6,6.266666666666667,89.70833333333333,161.51028804967015,15.9,12.9528,2019,4,1,True,False,True,,atlanta_2019-04-09,1,1,background,wind_only,wind_only,False,isolated_wind_only,-0.4533411923978276,0.4954597056757575,0.5184315718091141,-0.7471041148754138,1.0567864251807764,0.20412378614621485,0.7441525339255026,-1.1338723979016976,-0.07086389580547078,-0.37532289748625586,0.7023007233408382,0.09081778301073881,0.31713436997245864,-0.9483806152501071
Atlanta,2019-04-10,13.15625,2,27.5,7.704166666666667,69.33333333333333,39.20565977503374,0.0,25.524,2019,4,2,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.1712225915407775,-0.07525566056679542,-0.09656071999916961,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.5485488538903387,0.7951251214478406,0.15776003639623676,0.32110748534104006,-1.9428019655319175,2.680273279612966,0.6321058499222869,0.7748820519885742
Atlanta,2019-04-11,8.51875,2,26.9,14.941666666666668,65.16666666666667,146.7338722688631,0.0,24.5376,2019,4,3,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.5016692292962976,-0.5182972682344577,-0.0750555426565122,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.5399826018107037,0.8217883065331664,0.05454304004217968,4.249497094622976,-16.145408218631246,16.171568573473824,0.5485286073030146,-0.8361317880395501
Atlanta,2019-04-12,6.733332999999999,2,25.7,12.2,72.25,176.66603417420322,0.7000000000000001,14.7996,2019,4,4,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.10360112269256672,0.2576559898840791,-0.10147559634143839,0.8182253622205808,-0.1700862697210759,-0.010997543920258033,0.7329674372048325,-0.9707327754965561,-0.07579392256671402,2.7613679277217,-10.765261462995458,11.060876401130447,0.058155849306544646,-0.9983075163452565
Atlanta,2019-04-13,6.210416499999999,2,27.0,9.575,72.29166666666667,128.736378115808,0.0,16.902,2019,4,5,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.10747588409462787,0.262214556817826,-0.10140718037502566,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.5799878451646763,-0.6475904927885933,-0.09042711578582402,1.336563406220481,-5.614057122493113,6.167660491439979,0.7800332723089908,-0.6257380395108866
Atlanta,2019-04-14,2.2491630000000002,2,25.9,25.65833333333333,72.70833333333333,194.6368918552176,14.3,12.0996,2019,4,6,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.14591524700734465,0.3072493171499582,-0.10045076080207907,-0.7311987937094385,1.0759621967730768,0.17224328193886507,0.7150299413148341,-1.1756411336169512,-0.07079185902224475,10.066318093513669,-37.17540435160273,36.14831670001966,-0.252692398728957,-0.9675466663808034
Atlanta,2019-04-15,12.34375,2,18.5,18.0125,50.375,307.74135516518345,0.0,27.27,2019,4,0,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.4618519888142312,-1.0678432393549457,-0.05899446198676516,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.47729101014887476,0.6219169538972452,0.3836845089980037,5.916292225331546,-22.17149964553637,21.895854486873624,-0.7907819365953253,0.6120979731665078
