model,contrast,estimate_ppb,status,cross_city_summary_lower,cross_city_summary_upper,cross_city_summary_note,n_cities,n_estimable_cities,missing_cities,uncertainty_status,n_station_days,n_city_days,n_strata,n_episode_station_days,n_episode_city_days,n_episodes
calendar_only,episode_vs_reference,4.619286877670645,estimable_all_11_cities,3.3182611484453517,5.920312606895939,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,2846,555,189
calendar_only,heat_only_vs_reference,2.0330191922131893,estimable_all_11_cities,0.700573210796541,3.3654651736298375,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,2846,555,189
calendar_only,wind_only_vs_reference,3.0020578884490563,estimable_all_11_cities,2.0030483255038796,4.001067451394233,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,2846,555,189
calendar_only,other_compound_vs_reference,3.9312244947677537,estimable_all_11_cities,2.4096934754494055,5.4527555140861015,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,2846,555,189
calendar_only,episode_vs_wind_only,1.6172289892215892,estimable_all_11_cities,0.3544033897905645,2.880054588652614,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,2846,555,189
calendar_only,episode_vs_heat_only,2.586267685457456,estimable_all_11_cities,1.5549717364881883,3.6175636344267237,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,2846,555,189
