definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p20_min2_sep7,neither,Atlanta,2019,109,39,40,40,15,5
p80_p20_min2_sep7,neither,Atlanta,2020,90,27,30,39,13,3
p80_p20_min2_sep7,neither,Atlanta,2021,70,20,24,26,9,3
p80_p20_min2_sep7,neither,Atlanta,2022,60,20,21,26,9,2
p80_p20_min2_sep7,neither,Atlanta,2023,56,15,19,15,5,3
p80_p20_min2_sep7,neither,Atlanta,2024,84,29,29,29,10,4
p80_p20_min2_sep7,neither,Atlanta,2025,118,33,40,33,11,3
p80_p20_min2_sep7,neither,Chicago,2019,12,6,4,6,2,1
p80_p20_min2_sep7,neither,Chicago,2020,19,6,6,6,2,1
p80_p20_min2_sep7,neither,Chicago,2021,40,18,11,18,5,2
p80_p20_min2_sep7,neither,Chicago,2022,12,3,4,3,1,1
p80_p20_min2_sep7,neither,Chicago,2023,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Chicago,2024,22,8,6,8,2,1
p80_p20_min2_sep7,neither,Chicago,2025,56,18,19,21,7,4
p80_p20_min2_sep7,neither,Dallas,2019,65,21,19,21,6,2
p80_p20_min2_sep7,neither,Dallas,2020,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Dallas,2021,74,24,21,24,7,2
p80_p20_min2_sep7,neither,Dallas,2022,31,13,10,13,4,2
p80_p20_min2_sep7,neither,Dallas,2023,18,6,6,6,2,1
p80_p20_min2_sep7,neither,Dallas,2024,6,3,2,3,1,1
p80_p20_min2_sep7,neither,Dallas,2025,33,12,11,12,4,2
p80_p20_min2_sep7,neither,Denver,2019,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Denver,2020,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Denver,2021,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Denver,2022,8,4,2,4,1,1
p80_p20_min2_sep7,neither,Denver,2023,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Denver,2024,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Denver,2025,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Houston,2019,100,35,12,41,5,3
p80_p20_min2_sep7,neither,Houston,2020,18,9,2,9,1,1
p80_p20_min2_sep7,neither,Houston,2021,243,86,30,86,10,3
p80_p20_min2_sep7,neither,Houston,2022,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Houston,2023,32,16,4,16,2,1
p80_p20_min2_sep7,neither,Houston,2024,348,101,41,177,20,7
p80_p20_min2_sep7,neither,Houston,2025,89,30,9,30,3,1
p80_p20_min2_sep7,neither,Los Angeles,2019,109,34,16,41,6,2
p80_p20_min2_sep7,neither,Los Angeles,2020,96,38,13,52,7,3
p80_p20_min2_sep7,neither,Los Angeles,2021,156,45,21,45,6,2
p80_p20_min2_sep7,neither,Los Angeles,2022,105,42,15,42,6,1
p80_p20_min2_sep7,neither,Los Angeles,2023,105,35,15,35,5,2
p80_p20_min2_sep7,neither,Los Angeles,2024,93,38,15,38,6,3
p80_p20_min2_sep7,neither,Los Angeles,2025,28,14,4,14,2,1
p80_p20_min2_sep7,neither,New York,2019,94,34,11,34,4,3
p80_p20_min2_sep7,neither,New York,2020,45,18,5,18,2,1
p80_p20_min2_sep7,neither,New York,2021,189,66,23,66,8,4
p80_p20_min2_sep7,neither,New York,2022,52,18,6,18,2,1
p80_p20_min2_sep7,neither,New York,2023,201,62,27,62,8,2
p80_p20_min2_sep7,neither,New York,2024,64,24,8,24,3,1
p80_p20_min2_sep7,neither,New York,2025,91,31,12,31,4,2
p80_p20_min2_sep7,neither,Philadelphia,2019,45,15,12,22,6,3
p80_p20_min2_sep7,neither,Philadelphia,2020,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Philadelphia,2021,58,18,13,18,4,3
p80_p20_min2_sep7,neither,Philadelphia,2022,18,9,4,9,2,1
p80_p20_min2_sep7,neither,Philadelphia,2023,50,15,10,15,3,2
p80_p20_min2_sep7,neither,Philadelphia,2024,16,4,4,4,1,1
p80_p20_min2_sep7,neither,Philadelphia,2025,101,31,23,31,7,3
p80_p20_min2_sep7,neither,Phoenix,2019,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Phoenix,2020,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Phoenix,2021,20,10,4,10,2,1
p80_p20_min2_sep7,neither,Phoenix,2022,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Phoenix,2023,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Phoenix,2024,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Phoenix,2025,22,9,5,9,2,1
p80_p20_min2_sep7,neither,San Diego,2019,31,12,8,12,3,1
p80_p20_min2_sep7,neither,San Diego,2020,141,54,37,57,15,6
p80_p20_min2_sep7,neither,San Diego,2021,0,0,0,0,0,0
p80_p20_min2_sep7,neither,San Diego,2022,52,16,14,24,6,3
p80_p20_min2_sep7,neither,San Diego,2023,106,40,27,40,10,4
p80_p20_min2_sep7,neither,San Diego,2024,107,33,23,33,7,3
p80_p20_min2_sep7,neither,San Diego,2025,36,12,9,12,3,1
p80_p20_min2_sep7,neither,Seattle,2019,6,2,3,2,1,1
p80_p20_min2_sep7,neither,Seattle,2020,10,4,5,4,2,1
p80_p20_min2_sep7,neither,Seattle,2021,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Seattle,2022,16,6,8,6,3,1
p80_p20_min2_sep7,neither,Seattle,2023,8,3,5,5,3,2
p80_p20_min2_sep7,neither,Seattle,2024,0,0,0,0,0,0
p80_p20_min2_sep7,neither,Seattle,2025,24,8,12,8,4,2
p80_p20_min2_sep7,wind_only,Atlanta,2019,12,6,4,6,2,1
p80_p20_min2_sep7,wind_only,Atlanta,2020,39,15,13,18,6,2
p80_p20_min2_sep7,wind_only,Atlanta,2021,33,12,11,12,4,2
p80_p20_min2_sep7,wind_only,Atlanta,2022,19,8,7,11,4,2
p80_p20_min2_sep7,wind_only,Atlanta,2023,15,6,5,6,2,1
p80_p20_min2_sep7,wind_only,Atlanta,2024,6,3,2,3,1,1
p80_p20_min2_sep7,wind_only,Atlanta,2025,16,8,6,8,3,2
p80_p20_min2_sep7,wind_only,Chicago,2019,0,0,0,0,0,0
p80_p20_min2_sep7,wind_only,Chicago,2020,23,10,7,10,3,2
