model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
p80_p30_min2_allruns,Dallas,wind_only_vs_reference,3.067646694087444,True,2.7129527999233276,3.4505594706162332,5000,0,5000,conditional_diagnostic,0.18394433255484322,2.5948027340537183,3.5404906541211694,delete_year_jackknife_diagnostic_t_df_5,4519,1284,4,1109,189,55,18,85,6,6,15,15,169.52109786275997,2.5153780609736907,1284.0,189,55,2490,686,704,218,1035,295,101,30
p80_p30_min2_allruns,Dallas,other_compound_vs_reference,1.0675953222961994,True,0.06766477861961906,1.9420258728877164,5000,0,5000,conditional_diagnostic,0.6005470964636108,-0.4761601353172882,2.611350779909687,delete_year_jackknife_diagnostic_t_df_5,4519,1284,4,1109,189,55,18,85,6,6,15,15,169.52109786275997,2.5153780609736907,1284.0,189,55,2490,686,704,218,1035,295,101,30
p80_p30_min2_allruns,Dallas,episode_vs_wind_only,-0.6215772149642316,True,-1.816810431733354,0.28474237794569834,5000,0,5000,conditional_diagnostic,0.5184909354627514,-1.9544005956068609,0.7112461656783977,delete_year_jackknife_diagnostic_t_df_5,4519,1284,4,1109,189,55,18,85,6,6,15,15,169.52109786275997,2.5153780609736907,1284.0,189,55,2490,686,704,218,1035,295,101,30
p80_p30_min2_allruns,Dallas,episode_vs_heat_only,3.5269395929293723,True,2.920682355857333,3.8134054765514795,5000,0,5000,conditional_diagnostic,0.17440431444888377,3.0786190301504677,3.975260155708277,delete_year_jackknife_diagnostic_t_df_5,4519,1284,4,1109,189,55,18,85,6,6,15,15,169.52109786275997,2.5153780609736907,1284.0,189,55,2490,686,704,218,1035,295,101,30
p80_p30_min2_allruns,Denver,episode_vs_reference,1.5699914297162878,True,-0.09131944130362074,4.495126226946792,4990,10,5000,conditional_diagnostic,1.4716281687674517,-2.2129492097280563,5.352932069160632,delete_year_jackknife_diagnostic_t_df_5,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
p80_p30_min2_allruns,Denver,heat_only_vs_reference,0.4470757102567877,True,-0.3586194318939286,1.286508498042633,5000,0,5000,conditional_diagnostic,0.48357952053052916,-0.7960050213047087,1.6901564418182842,delete_year_jackknife_diagnostic_t_df_5,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
p80_p30_min2_allruns,Denver,wind_only_vs_reference,1.2942301041247999,True,0.8630885089571597,1.731468757854786,5000,0,5000,conditional_diagnostic,0.2449007311919781,0.6646927329886492,1.9237674752609506,delete_year_jackknife_diagnostic_t_df_5,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
p80_p30_min2_allruns,Denver,other_compound_vs_reference,0.9721395038651346,True,0.09798313825974689,1.8239615632673405,5000,0,5000,conditional_diagnostic,0.4652608687310759,-0.22385163412734088,2.1681306418576103,delete_year_jackknife_diagnostic_t_df_5,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
p80_p30_min2_allruns,Denver,episode_vs_wind_only,0.2757613255914879,True,-1.7613900750447338,3.4544516658920568,4990,10,5000,conditional_diagnostic,1.552619508218129,-3.715374179888623,4.266896831071598,delete_year_jackknife_diagnostic_t_df_5,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
p80_p30_min2_allruns,Denver,episode_vs_heat_only,1.1229157194595,True,-0.6735161367604774,4.439774535014837,4990,10,5000,conditional_diagnostic,1.6395361026014035,-3.0916460047576253,5.337477443676625,delete_year_jackknife_diagnostic_t_df_5,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
