model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
p85_p30_min2_sep7,Los Angeles,2021,los_angeles_2021-08-26,31,31,4,4,True,True,True
p85_p30_min2_sep7,Los Angeles,2021,los_angeles_2021-09-09,31,31,4,4,True,True,True
p85_p30_min2_sep7,Los Angeles,2022,los_angeles_2022-09-05,21,21,3,3,True,True,True
p85_p30_min2_sep7,Los Angeles,2022,los_angeles_2022-09-25,28,28,4,4,True,True,True
p85_p30_min2_sep7,Los Angeles,2023,los_angeles_2023-07-24,14,14,2,2,True,True,True
p85_p30_min2_sep7,Los Angeles,2023,los_angeles_2023-08-27,28,28,4,4,True,True,True
p85_p30_min2_sep7,Los Angeles,2023,los_angeles_2023-09-08,14,14,2,2,True,True,True
p85_p30_min2_sep7,Los Angeles,2023,los_angeles_2023-10-04,27,27,4,4,True,True,True
p85_p30_min2_sep7,Los Angeles,2024,los_angeles_2024-08-02,14,14,2,2,True,True,True
p85_p30_min2_sep7,Los Angeles,2024,los_angeles_2024-08-19,14,14,2,2,True,True,True
p85_p30_min2_sep7,Los Angeles,2024,los_angeles_2024-09-07,10,10,2,2,True,True,True
p85_p30_min2_sep7,New York,2019,new_york_2019-06-26,26,26,3,3,True,True,True
p85_p30_min2_sep7,New York,2019,new_york_2019-07-09,16,16,2,2,True,True,True
p85_p30_min2_sep7,New York,2019,new_york_2019-08-18,26,26,3,3,True,True,True
p85_p30_min2_sep7,New York,2020,new_york_2020-07-02,18,18,2,2,True,True,True
p85_p30_min2_sep7,New York,2020,new_york_2020-07-21,18,18,2,2,True,True,True
p85_p30_min2_sep7,New York,2020,new_york_2020-07-29,18,18,2,2,True,True,True
p85_p30_min2_sep7,New York,2021,new_york_2021-06-08,17,17,2,2,True,True,True
p85_p30_min2_sep7,New York,2021,new_york_2021-07-14,30,30,4,4,True,True,True
p85_p30_min2_sep7,New York,2021,new_york_2021-07-26,18,16,2,2,True,False,True
p85_p30_min2_sep7,New York,2021,new_york_2021-08-25,27,27,3,3,True,True,True
p85_p30_min2_sep7,New York,2022,new_york_2022-07-13,17,17,2,2,True,True,True
p85_p30_min2_sep7,New York,2023,new_york_2023-07-05,14,14,2,2,True,True,True
p85_p30_min2_sep7,New York,2023,new_york_2023-09-04,48,48,6,6,True,True,True
p85_p30_min2_sep7,New York,2024,new_york_2024-07-05,32,32,4,4,True,True,True
p85_p30_min2_sep7,New York,2024,new_york_2024-07-13,16,16,2,2,True,True,True
p85_p30_min2_sep7,New York,2024,new_york_2024-08-01,24,24,3,3,True,True,True
p85_p30_min2_sep7,Philadelphia,2019,philadelphia_2019-06-27,6,6,2,2,True,True,True
p85_p30_min2_sep7,Philadelphia,2019,philadelphia_2019-08-18,12,11,3,3,True,False,True
p85_p30_min2_sep7,Philadelphia,2020,philadelphia_2020-07-21,8,8,2,2,True,True,True
p85_p30_min2_sep7,Philadelphia,2021,philadelphia_2021-07-14,20,20,4,4,True,True,True
p85_p30_min2_sep7,Philadelphia,2021,philadelphia_2021-07-26,9,9,2,2,True,True,True
p85_p30_min2_sep7,Philadelphia,2021,philadelphia_2021-08-24,20,20,4,4,True,True,True
p85_p30_min2_sep7,Philadelphia,2022,philadelphia_2022-08-10,10,10,2,2,True,True,True
p85_p30_min2_sep7,Philadelphia,2023,philadelphia_2023-07-05,14,14,3,3,True,True,True
p85_p30_min2_sep7,Philadelphia,2023,philadelphia_2023-09-07,8,8,2,2,True,True,True
p85_p30_min2_sep7,Philadelphia,2024,philadelphia_2024-07-07,8,8,2,2,True,True,True
p85_p30_min2_sep7,Phoenix,2021,phoenix_2021-07-07,10,10,2,2,True,True,True
p85_p30_min2_sep7,Phoenix,2021,phoenix_2021-08-04,10,10,2,2,True,True,True
p85_p30_min2_sep7,Phoenix,2023,phoenix_2023-07-24,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2019,san_diego_2019-08-25,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2019,san_diego_2019-09-02,16,16,4,4,True,True,True
p85_p30_min2_sep7,San Diego,2019,san_diego_2019-09-13,12,12,3,3,True,True,True
p85_p30_min2_sep7,San Diego,2020,san_diego_2020-07-05,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2020,san_diego_2020-08-17,20,20,5,5,True,True,True
p85_p30_min2_sep7,San Diego,2020,san_diego_2020-09-04,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2020,san_diego_2020-10-01,23,23,6,6,True,True,True
p85_p30_min2_sep7,San Diego,2020,san_diego_2020-10-14,12,12,3,3,True,True,True
p85_p30_min2_sep7,San Diego,2021,san_diego_2021-10-01,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2022,san_diego_2022-08-09,7,7,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2022,san_diego_2022-09-02,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2023,san_diego_2023-07-25,12,12,3,3,True,True,True
p85_p30_min2_sep7,San Diego,2023,san_diego_2023-08-28,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2023,san_diego_2023-09-10,8,8,2,2,True,True,True
p85_p30_min2_sep7,San Diego,2023,san_diego_2023-10-04,16,16,4,4,True,True,True
p85_p30_min2_sep7,San Diego,2024,san_diego_2024-09-05,15,15,3,3,True,True,True
p85_p30_min2_sep7,Seattle,2019,seattle_2019-08-05,4,4,2,2,True,True,True
p85_p30_min2_sep7,Seattle,2019,seattle_2019-08-12,6,6,3,3,True,True,True
p85_p30_min2_sep7,Seattle,2021,seattle_2021-07-10,8,7,4,4,True,False,True
p85_p30_min2_sep7,Seattle,2021,seattle_2021-07-18,3,3,2,2,True,True,True
p85_p30_min2_sep7,Seattle,2021,seattle_2021-07-27,4,4,2,2,True,True,True
p85_p30_min2_sep7,Seattle,2022,seattle_2022-07-29,6,6,3,3,True,True,True
p85_p30_min2_sep7,Seattle,2022,seattle_2022-08-14,4,4,2,2,True,True,True
p85_p30_min2_sep7,Seattle,2023,seattle_2023-07-13,6,6,3,3,True,True,True
p85_p30_min2_sep7,Seattle,2023,seattle_2023-08-01,7,7,4,4,True,True,True
p85_p30_min2_sep7,Seattle,2023,seattle_2023-09-15,4,4,2,2,True,True,True
p85_p30_min2_sep7,Seattle,2024,seattle_2024-07-11,4,4,2,2,True,True,True
p85_p30_min2_sep7,Seattle,2024,seattle_2024-08-02,4,4,2,2,True,True,True
