date,temperature_2m_max,wind_speed_10m_mean,relative_humidity_2m_mean,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum,city,year,month,weekday,warm,hot,calm,episode_id,pure_wind_run_id,pure_wind_run_days,low_wind_run_days,phase,regime,regime_factorial,persistent_wind_only,wind_duration_class,met_relative_humidity_2m_mean_0,met_relative_humidity_2m_mean_1,met_relative_humidity_2m_mean_2,met_precipitation_sum_0,met_precipitation_sum_1,met_precipitation_sum_2,met_shortwave_radiation_sum_0,met_shortwave_radiation_sum_1,met_shortwave_radiation_sum_2,wind_adjust_0,wind_adjust_1,wind_adjust_2,met_wind_sin,met_wind_cos
2019-01-01,18.9,7.579166666666667,87.95833333333333,301.4910267663751,8.4,3.942,Atlanta,2019,1,1,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.5226939379275485,0.60441968969665,0.4116049756766207,-0.5088482252169776,1.0675645861569758,0.047691659476226604,-0.3241390535679705,-0.8295871751753586,-0.1190338146377761,0.25325965098383907,-1.6975065207460915,2.447262998199134,-0.8527219836886798,0.5223650242254384
2019-01-02,14.1,5.454166666666667,90.20833333333331,17.491406500621732,16.9,4.8564,Atlanta,2019,1,2,False,False,True,,,0,0,background,wind_only,wind_only,False,isolated_wind_only,-0.4310790029005141,0.4612279708806755,0.5499901184748129,-0.7522241718642287,1.0428180268938079,0.22344117300919322,-0.16151603136566503,-0.9135890704172389,-0.11065845433063379,0.2071524300618069,0.05753887744909451,-0.2416759790767248,0.3005627530207225,0.9537620413376725
2019-01-03,12.3,5.8375,94.5,29.087058476047,9.4,2.628,Atlanta,2019,1,3,False,False,True,,,0,0,background,wind_only,wind_only,False,isolated_wind_only,-0.20834150690778688,0.12730278929221991,0.8342769584062021,-0.5763108721273644,1.0844079069474,0.06887686098651898,-0.5666418223330852,-0.7002409379838138,-0.13163608637997898,-0.1835478067748349,0.648136226176464,-0.24743447607829877,0.48613800716206135,0.8738820503892385
2019-01-04,16.8,19.829166666666666,84.04166666666667,161.0231801750598,31.7,5.5872,Atlanta,2019,1,4,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.6163286541206102,0.7702611946850975,0.19860514742385021,-0.6516969091187635,0.7871814177140821,0.4596499890729823,-0.03665044432707589,-0.9757224003129892,-0.10429310731934503,6.902347417989532,-25.736460109757044,25.28227057675464,0.3251855990179237,-0.9456502134464699
2019-01-05,14.9,16.925,62.0,288.8777266120305,0.0,12.4092,Atlanta,2019,1,5,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.644423928994968,-0.7648969390746246,-0.06292738841848608,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7279347059519713,-1.1627745832153047,-0.07066767525100116,5.3260160664238985,-20.03742927589969,19.868665038573287,-0.9462112082757355,0.32354960876714534
2019-01-06,19.9,8.125,64.83333333333333,315.57532999086146,0.0,12.564,Atlanta,2019,1,6,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.5213520712316456,-0.5482239360517921,-0.07351144431431589,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.733400479330361,-1.155374555411585,-0.07066904339414364,0.5495285276769499,-2.7686299629775317,3.4647412270395326,-0.6999709082111272,0.7141713573492637
2019-01-07,20.0,8.870833333333334,71.125,156.00768459262576,0.0,12.3336,Atlanta,2019,1,0,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.002398302145906819,0.13157905693498734,-0.10163699969242437,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7250246233858422,-1.1661526442255647,-0.07068249254432667,0.9543539393415824,-4.232226116866294,4.855035906142062,0.40661411338284426,-0.913600001531241
2019-01-08,19.1,12.708333333333334,76.5,246.04580557709264,0.0,4.7916,Atlanta,2019,1,1,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.44588565076932124,0.6452343337839347,-0.06295057968747814,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.17282504784859656,-0.907847293754516,-0.11123812578625618,3.0372824541076513,-11.762796271791153,12.008451545546697,-0.9138703345878457,-0.4060061718253786
2019-01-09,12.3,21.704166666666666,39.16666666666666,312.14412658780896,0.0,13.392,Atlanta,2019,1,2,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.388283367967628,-0.7853213150611422,-0.09392438909952519,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7510285823541906,-1.1044191916463963,-0.07142296698782148,7.920064933347547,-29.41589178154443,28.777424797962116,-0.7414592890732902,0.6709978559182818
2019-01-10,7.4,17.6125,48.333333333333336,327.5505562138728,0.0,12.7476,Atlanta,2019,1,3,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.34177643490348414,-1.0460282065589201,-0.06335923458600431,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.739013643124941,-1.1457457799686754,-0.07072659334713112,5.699179155388504,-21.38655422222173,21.15022158634936,-0.5365552139525019,0.8438652157663479
2019-01-11,11.4,9.125,54.208333333333336,91.06950558173004,0.0,13.0788,Atlanta,2019,1,4,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6262224604376674,-1.0567395237042603,-0.0543077767651159,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7467055225719762,-1.1259913793150942,-0.0709869560619345,1.0923112025345576,-4.73099352126414,5.328823478350186,0.9998257879303608,-0.018665309786692782
2019-01-12,6.0,17.408333333333335,63.75,98.92291679843076,11.3,1.962,Atlanta,2019,1,5,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.5776028467680353,-0.6389063796888403,-0.0689364864851832,-0.6628097819449285,1.094321116540673,0.10961001893214702,-0.6919281947578149,-0.6323556550402787,-0.13817623874372656,5.588361025938409,-20.985904995738217,20.769638126706774,0.987897906676591,-0.15510553176469669
2019-01-13,7.4,9.983333333333333,92.08333333333331,47.14591189182418,3.7,2.556,Atlanta,2019,1,6,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.33969506013276096,0.3228493493271862,0.6716816197566816,0.29380793436210473,0.7051766292350411,-0.021280579123649015,-0.5801340645525107,-0.6929531677691674,-0.13233977034357106,1.5581996651206704,-6.4153555754601435,6.928827410725163,0.7330881344880962,0.6801336538304534
2019-01-14,6.6,13.625,80.75,318.1293734793837,0.0,4.6044,Atlanta,2019,1,0,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.6085205737390328,0.800048448798477,0.056238715966822436,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,-0.20569320797190463,-0.89106624912609,-0.11292544649214294,3.5348332393937913,-13.561629533553877,13.717193609248127,-0.6674508860454951,0.7446538220657191
2019-01-15,6.5,12.316666666666668,71.20833333333333,317.73185481757946,0.0,13.2912,Atlanta,2019,1,1,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.005511453732207624,0.14108043517668895,-0.10172815340703055,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7499551371555699,-1.111673451384192,-0.07126219487632182,2.8246925731217565,-10.9942038781289,11.278352663783359,-0.672601195743561,0.7400051563903672
2019-01-16,12.0,9.795833333333333,72.95833333333333,319.00183505734446,0.0,13.6332,Atlanta,2019,1,2,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.1686679401766156,0.33374446585894507,-0.09962877146794485,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7523532986943369,-1.0858419339742467,-0.07188768003683622,1.4564279135848692,-6.047412408281405,6.579311988604415,-0.6560348569720986,0.7547305919582152
2019-01-17,9.0,7.358333333333333,83.41666666666667,158.39404895188252,5.1,4.7304,Atlanta,2019,1,3,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.6216580071232723,0.7845471523314911,0.16868785228731092,-0.07646313817831546,0.8936443157176265,-0.011466662216107777,-0.18353850268213157,-0.9023924460981811,-0.1117876976768915,0.13339514361945087,-1.264151234957799,2.035611501034698,0.3682211222902011,-0.9297382454752223
2019-01-18,14.3,5.1125,88.41666666666667,211.52271099472176,0.2,5.7384,Atlanta,2019,1,4,False,False,True,,,0,0,background,wind_only,wind_only,False,isolated_wind_only,-0.5059209990395445,0.5776446825159669,0.4389941596645464,0.19032269392124884,-0.3718496635868053,-0.03458124330353681,-0.011482483707987332,-0.9879246830721914,-0.10301899621508119,0.48475184928827164,-0.4894831740676629,-0.16469951354373122,-0.5228364945618444,-0.8524329885417871
2019-01-19,15.8,18.725,93.83333333333331,167.08671822536616,23.4,1.7784,Atlanta,2019,1,5,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.24569225813718806,0.18265965183140978,0.7889506073764506,-0.7329108252575264,0.9343226074257833,0.337796243564416,-0.7266064243621534,-0.6135043236438454,-0.13998819335045673,6.303024881167593,-23.569683680815587,23.224013090932466,0.22347607008330198,-0.9747094162365125
2019-01-20,10.6,25.766666666666666,64.54166666666667,309.916841805279,0.0,13.7268,Atlanta,2019,1,6,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.5376495829951261,-0.5736213204646483,-0.07221349043039643,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7523891254460143,-1.078164231660875,-0.07209877763748099,10.125119549956578,-37.38799373708378,36.350258943911655,-0.766976567792578,0.6416751081794565
2019-01-21,5.2,11.270833333333334,45.833333333333336,350.6097195541763,0.0,14.2164,Atlanta,2019,1,0,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.16934829579803498,-0.9976676121417253,-0.07016269316160534,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.7481206016997912,-1.0336376966748115,-0.07348959164135492,2.2570323589998402,-8.941898656754155,9.328833309287633,-0.16315859954483,0.9865998537373547
2019-01-22,7.7,17.962500000000002,46.54166666666666,105.79565670672125,0.0,11.0304,Atlanta,2019,1,1,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.2207655669043987,-1.0135541714085583,-0.0680878445526402,-0.21938134372315346,-0.4650677503217346,-0.050453465678498746,0.6511758702245586,-1.2011761789003117,-0.07246133195373254,5.889153091588668,-22.07338146762205,21.80265037430809,0.9622386309056222,-0.27220730554647815
2019-01-23,16.8,19.683333333333334,77.08333333333333,139.36369912311716,29.0,5.2812,Atlanta,2019,1,2,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.4798351289264732,0.681213886786194,-0.05151677380233771,-0.6811829655446362,0.8344437163625735,0.4225637086944188,-0.0883094302524151,-0.9503180443628303,-0.10691822307761144,6.823191611239465,-25.450282090840247,25.01042524843851,0.6512551380075702,-0.7588588440670245
2019-01-24,13.1,18.195833333333333,76.95833333333333,295.53400492151627,6.4,10.2276,Atlanta,2019,1,3,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.47289279766981823,0.6739253064469397,-0.05410775464130049,-0.29977116002765114,0.9926900619670298,0.008372620299004487,0.5849391228290406,-1.2024246630343531,-0.07489143686265423,6.015802382388775,-22.53126629788892,22.237602899613908,-0.9023296179946255,0.43104670337409273
