period,classification,city,regime,city_days,station_days,sites,events
2019_2024,wind_duration_class,Denver,isolated_wind_only,119,552,5,0
2019_2024,wind_duration_class,Denver,not_wind_only,940,4414,5,4
2019_2024,wind_duration_class,Denver,persistent_wind_only,225,1083,5,0
2019_2024,wind_duration_class,Houston,isolated_wind_only,66,566,10,0
2019_2024,wind_duration_class,Houston,not_wind_only,989,8493,10,22
2019_2024,wind_duration_class,Houston,persistent_wind_only,229,1951,10,0
2019_2024,wind_duration_class,Los Angeles,isolated_wind_only,64,456,8,0
2019_2024,wind_duration_class,Los Angeles,not_wind_only,982,7100,8,24
2019_2024,wind_duration_class,Los Angeles,persistent_wind_only,238,1698,8,0
2019_2024,wind_duration_class,New York,isolated_wind_only,121,1003,9,0
2019_2024,wind_duration_class,New York,not_wind_only,991,8308,9,21
2019_2024,wind_duration_class,New York,persistent_wind_only,172,1438,9,0
2019_2024,wind_duration_class,Philadelphia,isolated_wind_only,109,511,6,0
2019_2024,wind_duration_class,Philadelphia,not_wind_only,970,4507,6,13
2019_2024,wind_duration_class,Philadelphia,persistent_wind_only,205,964,6,0
2019_2024,wind_duration_class,Phoenix,isolated_wind_only,83,387,6,0
2019_2024,wind_duration_class,Phoenix,not_wind_only,956,4425,6,8
2019_2024,wind_duration_class,Phoenix,persistent_wind_only,245,1179,6,0
2019_2024,wind_duration_class,San Diego,isolated_wind_only,80,318,5,0
2019_2024,wind_duration_class,San Diego,not_wind_only,985,3864,5,26
2019_2024,wind_duration_class,San Diego,persistent_wind_only,219,875,5,0
2019_2024,wind_duration_class,Seattle,isolated_wind_only,106,206,2,0
2019_2024,wind_duration_class,Seattle,not_wind_only,1018,1937,2,16
2019_2024,wind_duration_class,Seattle,persistent_wind_only,158,305,2,0
2025,regime,Atlanta,episode,13,39,3,4
2025,regime,Atlanta,heat_only,20,57,3,0
2025,regime,Atlanta,neither,134,349,3,0
2025,regime,Atlanta,other_compound,4,12,3,0
2025,regime,Atlanta,wind_only,39,102,3,0
2025,regime,Chicago,episode,14,46,4,4
2025,regime,Chicago,heat_only,24,88,4,0
2025,regime,Chicago,neither,106,379,4,0
2025,regime,Chicago,other_compound,10,37,4,0
2025,regime,Chicago,wind_only,60,215,4,0
2025,regime,Dallas,episode,6,18,3,2
2025,regime,Dallas,heat_only,17,51,3,0
2025,regime,Dallas,neither,120,349,3,0
2025,regime,Dallas,other_compound,6,16,3,0
2025,regime,Dallas,wind_only,65,192,3,0
2025,regime,Denver,heat_only,39,181,5,0
2025,regime,Denver,neither,115,545,5,0
2025,regime,Denver,other_compound,2,8,4,0
2025,regime,Denver,wind_only,58,277,5,0
2025,regime,Houston,episode,4,40,10,2
2025,regime,Houston,heat_only,5,49,10,0
2025,regime,Houston,neither,119,1125,10,0
2025,regime,Houston,other_compound,9,89,10,0
2025,regime,Houston,wind_only,77,743,10,0
2025,regime,Los Angeles,episode,9,61,7,4
2025,regime,Los Angeles,heat_only,10,69,7,0
2025,regime,Los Angeles,neither,131,916,7,0
2025,regime,Los Angeles,other_compound,5,35,7,0
2025,regime,Los Angeles,wind_only,59,407,7,0
2025,regime,New York,episode,7,55,8,3
2025,regime,New York,heat_only,20,149,8,0
2025,regime,New York,neither,133,979,8,0
2025,regime,New York,other_compound,11,81,8,0
2025,regime,New York,wind_only,43,320,8,0
2025,regime,Philadelphia,episode,10,45,5,4
2025,regime,Philadelphia,heat_only,23,109,5,0
2025,regime,Philadelphia,neither,129,610,5,0
2025,regime,Philadelphia,other_compound,5,25,5,0
2025,regime,Philadelphia,wind_only,47,222,5,0
2025,regime,Phoenix,episode,2,9,5,1
2025,regime,Phoenix,heat_only,42,176,5,0
2025,regime,Phoenix,neither,95,442,5,0
2025,regime,Phoenix,other_compound,3,14,5,0
2025,regime,Phoenix,wind_only,72,338,5,0
2025,regime,San Diego,episode,6,24,4,2
2025,regime,San Diego,heat_only,8,30,5,0
2025,regime,San Diego,neither,137,549,5,0
2025,regime,San Diego,other_compound,7,30,5,0
2025,regime,San Diego,wind_only,56,235,5,0
2025,regime,Seattle,episode,8,19,3,3
2025,regime,Seattle,heat_only,24,59,3,0
2025,regime,Seattle,neither,126,342,3,0
2025,regime,Seattle,other_compound,10,24,3,0
2025,regime,Seattle,wind_only,43,113,3,0
2025,regime_factorial,Atlanta,compound,17,51,3,4
2025,regime_factorial,Atlanta,heat_only,20,57,3,0
2025,regime_factorial,Atlanta,neither,134,349,3,0
2025,regime_factorial,Atlanta,wind_only,39,102,3,0
2025,regime_factorial,Chicago,compound,24,83,4,4
2025,regime_factorial,Chicago,heat_only,24,88,4,0
2025,regime_factorial,Chicago,neither,106,379,4,0
2025,regime_factorial,Chicago,wind_only,60,215,4,0
2025,regime_factorial,Dallas,compound,12,34,3,2
2025,regime_factorial,Dallas,heat_only,17,51,3,0
2025,regime_factorial,Dallas,neither,120,349,3,0
