city,year,run_type,isolated_runs,persistent_runs,weather_days,n,mean,median,q25,q75,minimum,maximum,sd
Philadelphia,2020,pure_wind,11,14,51,25,2.04,2.0,1.0,3.0,1.0,4.0,1.1357816691600546
Philadelphia,2021,low_wind,20,18,70,38,1.8421052631578947,1.0,1.0,2.0,1.0,4.0,1.078695803861704
Philadelphia,2021,pure_wind,20,12,52,32,1.625,1.0,1.0,2.0,1.0,4.0,0.9755064854862865
Philadelphia,2022,low_wind,20,16,56,36,1.5555555555555556,1.0,1.0,2.0,1.0,4.0,0.734630886692453
Philadelphia,2022,pure_wind,16,14,46,30,1.5333333333333334,1.0,1.0,2.0,1.0,4.0,0.68144538746106
Philadelphia,2023,low_wind,22,17,69,39,1.7692307692307692,1.0,1.0,2.0,1.0,6.0,1.2239181788428604
Philadelphia,2023,pure_wind,26,12,56,38,1.4736842105263157,1.0,1.0,2.0,1.0,4.0,0.7965073116938677
Philadelphia,2024,low_wind,12,18,64,30,2.1333333333333333,2.0,1.0,3.0,1.0,6.0,1.2242755305537405
Philadelphia,2024,pure_wind,14,13,55,27,2.037037037037037,1.0,1.0,3.0,1.0,6.0,1.3150455236776897
Philadelphia,2025,low_wind,15,16,62,31,2.0,2.0,1.0,2.5,1.0,6.0,1.2909944487358056
Philadelphia,2025,pure_wind,17,11,47,28,1.6785714285714286,1.0,1.0,2.0,1.0,4.0,1.0202966681339751
Phoenix,2019,low_wind,20,16,63,36,1.75,1.0,1.0,2.0,1.0,7.0,1.2041594578792296
Phoenix,2019,pure_wind,19,15,58,34,1.7058823529411764,1.0,1.0,2.0,1.0,7.0,1.1941628680530643
Phoenix,2020,low_wind,19,9,43,28,1.5357142857142858,1.0,1.0,2.0,1.0,8.0,1.3466595945123114
Phoenix,2020,pure_wind,14,7,34,21,1.619047619047619,1.0,1.0,2.0,1.0,8.0,1.5321941938341392
Phoenix,2021,low_wind,13,20,85,33,2.5757575757575757,2.0,1.0,3.0,1.0,8.0,2.077111922693127
Phoenix,2021,pure_wind,15,16,75,31,2.4193548387096775,2.0,1.0,2.5,1.0,8.0,2.0293544712278515
Phoenix,2022,low_wind,15,17,66,32,2.0625,2.0,1.0,2.25,1.0,6.0,1.4354385639823608
Phoenix,2022,pure_wind,16,15,63,31,2.032258064516129,1.0,1.0,2.5,1.0,6.0,1.4715948484040922
Phoenix,2023,low_wind,14,16,56,30,1.8666666666666667,2.0,1.0,2.0,1.0,8.0,1.3829836145670416
Phoenix,2023,pure_wind,10,14,48,24,2.0,2.0,1.0,2.0,1.0,8.0,1.5036188231122245
Phoenix,2024,low_wind,11,21,64,32,2.0,2.0,1.0,2.0,1.0,6.0,1.1071614388213236
Phoenix,2024,pure_wind,9,15,50,24,2.0833333333333335,2.0,1.0,2.25,1.0,6.0,1.2481870911416901
Phoenix,2025,low_wind,15,17,77,32,2.40625,2.0,1.0,3.25,1.0,7.0,1.829143550690393
Phoenix,2025,pure_wind,14,15,72,29,2.4827586206896552,2.0,1.0,4.0,1.0,7.0,1.9015161179432662
San Diego,2019,low_wind,13,17,85,30,2.8333333333333335,2.0,1.0,4.0,1.0,10.0,2.4365511710603167
San Diego,2019,pure_wind,13,17,65,30,2.1666666666666665,2.0,1.0,3.0,1.0,6.0,1.3412123525798008
San Diego,2020,low_wind,9,11,71,20,3.55,2.0,1.0,5.25,1.0,10.0,3.1867323637065503
San Diego,2020,pure_wind,8,10,43,18,2.388888888888889,2.0,1.0,3.0,1.0,7.0,1.9140007034508784
San Diego,2021,low_wind,16,10,39,26,1.5,1.0,1.0,2.0,1.0,3.0,0.7071067811865476
San Diego,2021,pure_wind,13,8,31,21,1.4761904761904763,1.0,1.0,2.0,1.0,3.0,0.6796357567879738
San Diego,2022,low_wind,9,18,62,27,2.2962962962962963,2.0,1.0,2.5,1.0,9.0,1.7500508743113907
San Diego,2022,pure_wind,9,10,43,19,2.263157894736842,2.0,1.0,2.5,1.0,9.0,2.050531239111733
San Diego,2023,low_wind,20,16,69,36,1.9166666666666667,1.0,1.0,2.0,1.0,8.0,1.4614083227196584
San Diego,2023,pure_wind,22,12,50,34,1.4705882352941178,1.0,1.0,2.0,1.0,3.0,0.7064762801416988
San Diego,2024,low_wind,17,17,83,34,2.4411764705882355,1.5,1.0,2.75,1.0,19.0,3.192711173059835
San Diego,2024,pure_wind,15,18,67,33,2.0303030303030303,2.0,1.0,3.0,1.0,6.0,1.2620630056788094
San Diego,2025,low_wind,11,17,69,28,2.4642857142857144,2.0,1.0,3.25,1.0,8.0,1.8754188244751537
San Diego,2025,pure_wind,11,14,56,25,2.24,2.0,1.0,2.0,1.0,8.0,1.7387735140993301
Seattle,2019,low_wind,21,16,65,37,1.7567567567567568,1.0,1.0,2.0,1.0,6.0,1.1644122362187095
Seattle,2019,pure_wind,18,12,47,30,1.5666666666666667,1.0,1.0,2.0,1.0,4.0,0.858359836662575
Seattle,2020,low_wind,24,17,69,41,1.6829268292682926,1.0,1.0,2.0,1.0,6.0,1.1278081483622093
Seattle,2020,pure_wind,18,16,57,34,1.6764705882352942,1.0,1.0,2.0,1.0,5.0,0.9445405564321195
Seattle,2021,low_wind,20,17,59,37,1.5945945945945945,1.0,1.0,2.0,1.0,4.0,0.7978951288462892
Seattle,2021,pure_wind,16,11,41,27,1.5185185185185186,1.0,1.0,2.0,1.0,4.0,0.7529618628798984
Seattle,2022,low_wind,26,14,65,40,1.625,1.0,1.0,2.0,1.0,5.0,1.0299987552892653
Seattle,2022,pure_wind,18,11,49,29,1.6896551724137931,1.0,1.0,2.0,1.0,5.0,1.1052940228044712
Seattle,2023,low_wind,25,12,65,37,1.7567567567567568,1.0,1.0,2.0,1.0,9.0,1.6228473845786093
Seattle,2023,pure_wind,20,6,36,26,1.3846153846153846,1.0,1.0,1.0,1.0,4.0,0.8521466107154603
Seattle,2024,low_wind,21,10,46,31,1.4838709677419355,1.0,1.0,2.0,1.0,5.0,0.8896054459491385
Seattle,2024,pure_wind,16,7,34,23,1.4782608695652173,1.0,1.0,2.0,1.0,5.0,0.9472239447886797
Seattle,2025,low_wind,21,16,64,37,1.7297297297297298,1.0,1.0,2.0,1.0,5.0,1.0178585540417866
Seattle,2025,pure_wind,18,11,45,29,1.5517241379310345,1.0,1.0,2.0,1.0,4.0,0.8274835732746656
