model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_pre1_6,days_post1_2,days_post3_6,days_other_compound
phase_calendar,Atlanta,episode_vs_reference,3.2051671508107957,1.9433475717858602,4.466986729835732,approximate_delete_one_year_jackknife_t,2.0713263079822273,3.8757745409876416,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,5,5,5.110837900761428,3.39530823618608,99,98,50,82,36
phase_calendar,Atlanta,pre1_6_vs_reference,1.2360745701726514,-0.1613023754346261,2.633451515779929,approximate_delete_one_year_jackknife_t,0.19263474525846014,2.029564009113265,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,5,5,5.110837900761428,3.39530823618608,99,98,50,82,36
phase_calendar,Atlanta,post1_2_vs_reference,0.6419238679865571,-0.7783802817369183,2.0622280177100327,approximate_delete_one_year_jackknife_t,-0.2772505195400534,1.525873519680548,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,5,5,5.110837900761428,3.39530823618608,99,98,50,82,36
phase_calendar,Atlanta,post3_6_vs_reference,0.875451590447054,-0.011672030985604875,1.7625752118797129,approximate_delete_one_year_jackknife_t,0.30291670799075754,1.336214824462421,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,5,5,5.110837900761428,3.39530823618608,99,98,50,82,36
phase_calendar,Atlanta,other_compound_vs_reference,1.4569539228946664,-0.6777102166889732,3.591618062478306,approximate_delete_one_year_jackknife_t,0.2576134550805457,3.527690479236044,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,5,5,5.110837900761428,3.39530823618608,99,98,50,82,36
phase_calendar,Chicago,episode_vs_reference,4.066007872637896,1.0560246671146682,7.075991078161124,approximate_delete_one_year_jackknife_t,2.1868641593673384,6.572239389797074,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,5,5,3.9176381112558394,4.624179725316815,36,71,26,48,66
phase_calendar,Chicago,pre1_6_vs_reference,0.742902676553955,-0.532520022822417,2.018325375930327,approximate_delete_one_year_jackknife_t,-0.1240579179973303,1.7592395766236073,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,5,5,3.9176381112558394,4.624179725316815,36,71,26,48,66
phase_calendar,Chicago,post1_2_vs_reference,-0.661253189811696,-3.0075110148675037,1.6850046352441117,approximate_delete_one_year_jackknife_t,-2.0945883756809365,0.9008146752487837,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,5,5,3.9176381112558394,4.624179725316815,36,71,26,48,66
phase_calendar,Chicago,post3_6_vs_reference,-2.0646255696607234,-5.549946396494356,1.4206952571729086,approximate_delete_one_year_jackknife_t,-4.384014920716998,0.41568522213168896,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,5,5,3.9176381112558394,4.624179725316815,36,71,26,48,66
phase_calendar,Chicago,other_compound_vs_reference,3.9724128774232614,2.6406582661077835,5.30416748873874,approximate_delete_one_year_jackknife_t,2.9091194183008415,4.862157842574225,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,5,5,3.9176381112558394,4.624179725316815,36,71,26,48,66
