definition,city,year,episode_id,start_date,end_date,duration_days
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-07-05,2019-07-05,2019-07-06,2
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-07-14,2019-07-14,2019-07-15,2
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-07-27,2019-07-27,2019-08-01,6
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-08-10,2019-08-10,2019-08-14,5
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-08-17,2019-08-17,2019-08-19,3
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-08-23,2019-08-23,2019-08-24,2
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-09-08,2019-09-08,2019-09-12,5
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-09-16,2019-09-16,2019-09-17,2
p80_p30_min2_allruns,Atlanta,2019,atlanta_2019-09-29,2019-09-29,2019-10-03,5
p80_p30_min2_allruns,Atlanta,2020,atlanta_2020-07-14,2020-07-14,2020-07-23,10
p80_p30_min2_allruns,Atlanta,2020,atlanta_2020-07-26,2020-07-26,2020-07-27,2
p80_p30_min2_allruns,Atlanta,2020,atlanta_2020-08-05,2020-08-05,2020-08-09,5
p80_p30_min2_allruns,Atlanta,2020,atlanta_2020-08-12,2020-08-12,2020-08-13,2
p80_p30_min2_allruns,Atlanta,2021,atlanta_2021-07-26,2021-07-26,2021-07-29,4
p80_p30_min2_allruns,Atlanta,2021,atlanta_2021-08-09,2021-08-09,2021-08-10,2
p80_p30_min2_allruns,Atlanta,2021,atlanta_2021-08-12,2021-08-12,2021-08-14,3
p80_p30_min2_allruns,Atlanta,2021,atlanta_2021-08-23,2021-08-23,2021-08-25,3
p80_p30_min2_allruns,Atlanta,2022,atlanta_2022-07-02,2022-07-02,2022-07-08,7
p80_p30_min2_allruns,Atlanta,2022,atlanta_2022-07-23,2022-07-23,2022-07-24,2
p80_p30_min2_allruns,Atlanta,2023,atlanta_2023-06-29,2023-06-29,2023-06-30,2
p80_p30_min2_allruns,Atlanta,2023,atlanta_2023-07-25,2023-07-25,2023-07-29,5
p80_p30_min2_allruns,Atlanta,2023,atlanta_2023-08-12,2023-08-12,2023-08-13,2
p80_p30_min2_allruns,Atlanta,2023,atlanta_2023-08-21,2023-08-21,2023-08-22,2
p80_p30_min2_allruns,Atlanta,2024,atlanta_2024-06-14,2024-06-14,2024-06-15,2
p80_p30_min2_allruns,Atlanta,2024,atlanta_2024-06-21,2024-06-21,2024-06-22,2
p80_p30_min2_allruns,Atlanta,2024,atlanta_2024-07-04,2024-07-04,2024-07-07,4
p80_p30_min2_allruns,Atlanta,2024,atlanta_2024-07-12,2024-07-12,2024-07-15,4
p80_p30_min2_allruns,Atlanta,2024,atlanta_2024-08-27,2024-08-27,2024-09-02,7
p80_p30_min2_allruns,Atlanta,2024,atlanta_2024-09-20,2024-09-20,2024-09-21,2
p80_p30_min2_allruns,Atlanta,2025,atlanta_2025-06-22,2025-06-22,2025-06-25,4
p80_p30_min2_allruns,Atlanta,2025,atlanta_2025-07-07,2025-07-07,2025-07-08,2
p80_p30_min2_allruns,Atlanta,2025,atlanta_2025-07-29,2025-07-29,2025-07-31,3
