model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
period_2019_2022,Los Angeles,2022,los_angeles_2022-09-05,21,21,3,3,True,True,True
period_2019_2022,Los Angeles,2022,los_angeles_2022-09-23,42,42,6,6,True,True,True
period_2019_2022,New York,2019,new_york_2019-06-26,26,26,3,3,True,True,True
period_2019_2022,New York,2019,new_york_2019-07-03,17,17,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-07-15,18,18,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-07-26,18,18,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-08-03,18,18,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-08-18,26,26,3,3,True,True,True
period_2019_2022,New York,2020,new_york_2020-07-02,18,18,2,2,True,True,True
period_2019_2022,New York,2020,new_york_2020-07-21,18,18,2,2,True,True,True
period_2019_2022,New York,2020,new_york_2020-07-29,18,18,2,2,True,True,True
period_2019_2022,New York,2021,new_york_2021-06-08,17,17,2,2,True,True,True
period_2019_2022,New York,2021,new_york_2021-07-14,30,30,4,4,True,True,True
period_2019_2022,New York,2021,new_york_2021-07-26,18,16,2,2,True,False,True
period_2019_2022,New York,2021,new_york_2021-08-25,27,27,3,3,True,True,True
period_2019_2022,New York,2022,new_york_2022-07-13,17,17,2,2,True,True,True
period_2019_2022,New York,2022,new_york_2022-09-04,18,18,2,2,True,True,True
period_2019_2022,Philadelphia,2019,philadelphia_2019-06-27,6,6,2,2,True,True,True
period_2019_2022,Philadelphia,2019,philadelphia_2019-08-03,8,8,2,2,True,True,True
period_2019_2022,Philadelphia,2019,philadelphia_2019-08-17,16,15,4,4,True,False,True
period_2019_2022,Philadelphia,2020,philadelphia_2020-07-21,8,8,2,2,True,True,True
period_2019_2022,Philadelphia,2021,philadelphia_2021-06-08,9,9,2,2,True,True,True
period_2019_2022,Philadelphia,2021,philadelphia_2021-07-14,20,20,4,4,True,True,True
period_2019_2022,Philadelphia,2021,philadelphia_2021-07-26,9,9,2,2,True,True,True
period_2019_2022,Philadelphia,2021,philadelphia_2021-08-24,20,20,4,4,True,True,True
period_2019_2022,Philadelphia,2022,philadelphia_2022-08-10,10,10,2,2,True,True,True
period_2019_2022,Phoenix,2020,phoenix_2020-09-16,8,8,2,2,True,True,True
