model,omitted_year,contrast,estimate_ppb,n_cities,n_estimable_cities,missing_cities
p80_p30_min3_sep7,2019,episode_vs_reference,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2019,heat_only_vs_reference,0.43855125690596763,11,11,
p80_p30_min3_sep7,2019,wind_only_vs_reference,2.82254752280017,11,11,
p80_p30_min3_sep7,2019,other_compound_vs_reference,2.732375028899556,11,11,
p80_p30_min3_sep7,2019,episode_vs_wind_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2019,episode_vs_heat_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2020,episode_vs_reference,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2020,heat_only_vs_reference,0.5025541882414335,11,11,
p80_p30_min3_sep7,2020,wind_only_vs_reference,2.8808574447081186,11,11,
p80_p30_min3_sep7,2020,other_compound_vs_reference,2.906216000762874,11,11,
p80_p30_min3_sep7,2020,episode_vs_wind_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2020,episode_vs_heat_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2021,episode_vs_reference,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2021,heat_only_vs_reference,0.5360478762947142,11,11,
p80_p30_min3_sep7,2021,wind_only_vs_reference,2.816136003222081,11,11,
p80_p30_min3_sep7,2021,other_compound_vs_reference,2.7105211084417804,11,11,
p80_p30_min3_sep7,2021,episode_vs_wind_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2021,episode_vs_heat_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2022,episode_vs_reference,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2022,heat_only_vs_reference,0.5190396556119978,11,11,
p80_p30_min3_sep7,2022,wind_only_vs_reference,2.741172713126303,11,11,
p80_p30_min3_sep7,2022,other_compound_vs_reference,2.8476053408016706,11,11,
p80_p30_min3_sep7,2022,episode_vs_wind_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2022,episode_vs_heat_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2023,episode_vs_reference,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2023,heat_only_vs_reference,0.637580269496442,11,11,
p80_p30_min3_sep7,2023,wind_only_vs_reference,2.8592557460766117,11,11,
p80_p30_min3_sep7,2023,other_compound_vs_reference,2.9152199531813845,11,11,
p80_p30_min3_sep7,2023,episode_vs_wind_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2023,episode_vs_heat_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2024,episode_vs_reference,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2024,heat_only_vs_reference,0.5698571365019329,11,11,
p80_p30_min3_sep7,2024,wind_only_vs_reference,2.797099164261368,11,11,
p80_p30_min3_sep7,2024,other_compound_vs_reference,2.8532987392362723,11,11,
p80_p30_min3_sep7,2024,episode_vs_wind_only,,11,9,Denver;Phoenix
p80_p30_min3_sep7,2024,episode_vs_heat_only,,11,9,Denver;Phoenix
