model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_heat_only,days_wind_only,days_other_compound
extension_2025,Houston,other_compound_vs_reference,3.300804089733859,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,2037,214,10,476,4,2,1,15,15,764.102715854977,2.8650203662725136,4,5,81,9
extension_2025,Houston,episode_vs_heat_only,0.4941122859466961,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,2037,214,10,476,4,2,1,15,15,764.102715854977,2.8650203662725136,4,5,81,9
extension_2025,Houston,episode_vs_wind_only,-2.0357115923631928,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,2037,214,10,476,4,2,1,15,15,764.102715854977,2.8650203662725136,4,5,81,9
extension_2025,Los Angeles,episode_vs_reference,1.6236053133529806,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1488,214,7,343,13,5,1,15,15,871.1251302998793,2.6033740688062417,13,6,61,5
extension_2025,Los Angeles,heat_only_vs_reference,1.588669894388412,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1488,214,7,343,13,5,1,15,15,871.1251302998793,2.6033740688062417,13,6,61,5
extension_2025,Los Angeles,wind_only_vs_reference,3.1192334930904084,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1488,214,7,343,13,5,1,15,15,871.1251302998793,2.6033740688062417,13,6,61,5
extension_2025,Los Angeles,other_compound_vs_reference,1.2246191629418106,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1488,214,7,343,13,5,1,15,15,871.1251302998793,2.6033740688062417,13,6,61,5
extension_2025,Los Angeles,episode_vs_heat_only,0.03493541896456853,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1488,214,7,343,13,5,1,15,15,871.1251302998793,2.6033740688062417,13,6,61,5
extension_2025,Los Angeles,episode_vs_wind_only,-1.4956281797374278,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1488,214,7,343,13,5,1,15,15,871.1251302998793,2.6033740688062417,13,6,61,5
extension_2025,New York,episode_vs_reference,4.283097625064745,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1574,214,8,374,7,3,1,15,15,455.5496948458677,3.4189262509447556,7,22,45,11
extension_2025,New York,heat_only_vs_reference,0.21364630332748735,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1574,214,8,374,7,3,1,15,15,455.5496948458677,3.4189262509447556,7,22,45,11
extension_2025,New York,wind_only_vs_reference,3.631044064538264,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1574,214,8,374,7,3,1,15,15,455.5496948458677,3.4189262509447556,7,22,45,11
extension_2025,New York,other_compound_vs_reference,1.9773659763868776,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1574,214,8,374,7,3,1,15,15,455.5496948458677,3.4189262509447556,7,22,45,11
extension_2025,New York,episode_vs_heat_only,4.069451321737257,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1574,214,8,374,7,3,1,15,15,455.5496948458677,3.4189262509447556,7,22,45,11
extension_2025,New York,episode_vs_wind_only,0.6520535605264808,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1574,214,8,374,7,3,1,15,15,455.5496948458677,3.4189262509447556,7,22,45,11
extension_2025,Philadelphia,episode_vs_reference,1.179833757750142,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,1006,214,5,238,11,4,1,15,15,345.6665665300807,2.8416356300049204,11,21,48,6
