model,city,contrast,omitted_year,estimate_ppb,estimable
calendar_only,Atlanta,episode_vs_reference,2019,3.006303884379726,True
calendar_only,Atlanta,episode_vs_reference,2020,3.359132908142921,True
calendar_only,Atlanta,episode_vs_reference,2021,3.032675768762535,True
calendar_only,Atlanta,episode_vs_reference,2022,3.5142653891350024,True
calendar_only,Atlanta,episode_vs_reference,2023,3.378010165871015,True
calendar_only,Atlanta,episode_vs_reference,2024,3.2384730480476724,True
calendar_only,Atlanta,heat_only_vs_reference,2019,0.7782554442623354,True
calendar_only,Atlanta,heat_only_vs_reference,2020,0.8982103578709999,True
calendar_only,Atlanta,heat_only_vs_reference,2021,0.6168504855801806,True
calendar_only,Atlanta,heat_only_vs_reference,2022,0.9703283905734278,True
calendar_only,Atlanta,heat_only_vs_reference,2023,0.8542143114485963,True
calendar_only,Atlanta,heat_only_vs_reference,2024,0.9189496113876344,True
calendar_only,Atlanta,wind_only_vs_reference,2019,1.6696946627818692,True
calendar_only,Atlanta,wind_only_vs_reference,2020,1.77393605965879,True
calendar_only,Atlanta,wind_only_vs_reference,2021,1.411818655933594,True
calendar_only,Atlanta,wind_only_vs_reference,2022,1.888021387608992,True
calendar_only,Atlanta,wind_only_vs_reference,2023,2.0475650224720905,True
calendar_only,Atlanta,wind_only_vs_reference,2024,2.003864298172477,True
calendar_only,Atlanta,other_compound_vs_reference,2019,1.8654702774646852,True
calendar_only,Atlanta,other_compound_vs_reference,2020,1.5874667130874118,True
calendar_only,Atlanta,other_compound_vs_reference,2021,1.3936216841189497,True
calendar_only,Atlanta,other_compound_vs_reference,2022,1.9350140088808896,True
calendar_only,Atlanta,other_compound_vs_reference,2023,2.205648546683181,True
calendar_only,Atlanta,other_compound_vs_reference,2024,1.4477091996892368,True
calendar_only,Atlanta,episode_vs_wind_only,2019,1.336609221597857,True
calendar_only,Atlanta,episode_vs_wind_only,2020,1.585196848484131,True
calendar_only,Atlanta,episode_vs_wind_only,2021,1.6208571128289413,True
calendar_only,Atlanta,episode_vs_wind_only,2022,1.6262440015260102,True
calendar_only,Atlanta,episode_vs_wind_only,2023,1.3304451433989244,True
calendar_only,Atlanta,episode_vs_wind_only,2024,1.234608749875196,True
calendar_only,Atlanta,episode_vs_heat_only,2019,2.2280484401173903,True
calendar_only,Atlanta,episode_vs_heat_only,2020,2.4609225502719214,True
calendar_only,Atlanta,episode_vs_heat_only,2021,2.415825283182355,True
calendar_only,Atlanta,episode_vs_heat_only,2022,2.5439369985615747,True
calendar_only,Atlanta,episode_vs_heat_only,2023,2.523795854422419,True
calendar_only,Atlanta,episode_vs_heat_only,2024,2.319523436660038,True
calendar_only,Chicago,episode_vs_reference,2019,6.729278111865796,True
calendar_only,Chicago,episode_vs_reference,2020,6.994230900670372,True
calendar_only,Chicago,episode_vs_reference,2021,7.20836795911837,True
calendar_only,Chicago,episode_vs_reference,2022,6.009987129603429,True
calendar_only,Chicago,episode_vs_reference,2023,5.824082550703579,True
calendar_only,Chicago,episode_vs_reference,2024,5.480721769028976,True
calendar_only,Chicago,heat_only_vs_reference,2019,2.6164153841457973,True
calendar_only,Chicago,heat_only_vs_reference,2020,2.631149878360765,True
calendar_only,Chicago,heat_only_vs_reference,2021,2.495588471204532,True
calendar_only,Chicago,heat_only_vs_reference,2022,2.786940295162276,True
calendar_only,Chicago,heat_only_vs_reference,2023,2.676446962442187,True
calendar_only,Chicago,heat_only_vs_reference,2024,2.647514692551268,True
calendar_only,Chicago,wind_only_vs_reference,2019,5.051197095476601,True
calendar_only,Chicago,wind_only_vs_reference,2020,5.245238800051202,True
calendar_only,Chicago,wind_only_vs_reference,2021,5.279639865000871,True
calendar_only,Chicago,wind_only_vs_reference,2022,4.746721001850062,True
calendar_only,Chicago,wind_only_vs_reference,2023,5.063952259436145,True
calendar_only,Chicago,wind_only_vs_reference,2024,5.199853547327198,True
calendar_only,Chicago,other_compound_vs_reference,2019,6.5875420084123455,True
calendar_only,Chicago,other_compound_vs_reference,2020,6.146605081355602,True
calendar_only,Chicago,other_compound_vs_reference,2021,6.401087484851319,True
calendar_only,Chicago,other_compound_vs_reference,2022,6.429816592286648,True
calendar_only,Chicago,other_compound_vs_reference,2023,6.146497996220614,True
calendar_only,Chicago,other_compound_vs_reference,2024,6.744172011476772,True
calendar_only,Chicago,episode_vs_wind_only,2019,1.6780810163891946,True
calendar_only,Chicago,episode_vs_wind_only,2020,1.7489921006191702,True
