model,city,omitted_year,contrast,estimate_ppb,estimable
p80_p20_min2_sep7,Atlanta,2019,episode_vs_reference,2.3126659009731694,True
p80_p20_min2_sep7,Atlanta,2019,heat_only_vs_reference,-0.22849102354842438,True
p80_p20_min2_sep7,Atlanta,2019,wind_only_vs_reference,1.6642844684082263,True
p80_p20_min2_sep7,Atlanta,2019,other_compound_vs_reference,0.8735496578402301,True
p80_p20_min2_sep7,Atlanta,2019,episode_vs_wind_only,0.6483814325649431,True
p80_p20_min2_sep7,Atlanta,2019,episode_vs_heat_only,2.541156924521594,True
p80_p20_min2_sep7,Chicago,2019,episode_vs_reference,4.072850066540143,True
p80_p20_min2_sep7,Chicago,2019,heat_only_vs_reference,0.1981855553631653,True
p80_p20_min2_sep7,Chicago,2019,wind_only_vs_reference,3.905666690661449,True
p80_p20_min2_sep7,Chicago,2019,other_compound_vs_reference,4.65143171919807,True
p80_p20_min2_sep7,Chicago,2019,episode_vs_wind_only,0.16718337587869403,True
p80_p20_min2_sep7,Chicago,2019,episode_vs_heat_only,3.8746645111769777,True
p80_p20_min2_sep7,Dallas,2019,episode_vs_reference,1.687544800286238,True
p80_p20_min2_sep7,Dallas,2019,heat_only_vs_reference,-1.1516060742340801,True
p80_p20_min2_sep7,Dallas,2019,wind_only_vs_reference,3.241614872635528,True
p80_p20_min2_sep7,Dallas,2019,other_compound_vs_reference,1.9444498806263046,True
p80_p20_min2_sep7,Dallas,2019,episode_vs_wind_only,-1.55407007234929,True
p80_p20_min2_sep7,Dallas,2019,episode_vs_heat_only,2.8391508745203184,True
p80_p20_min2_sep7,Denver,2019,episode_vs_reference,-0.4973818509373269,True
p80_p20_min2_sep7,Denver,2019,heat_only_vs_reference,0.4844870964476113,True
p80_p20_min2_sep7,Denver,2019,wind_only_vs_reference,0.9434515882174206,True
p80_p20_min2_sep7,Denver,2019,other_compound_vs_reference,0.3978025261978444,True
p80_p20_min2_sep7,Denver,2019,episode_vs_wind_only,-1.4408334391547475,True
p80_p20_min2_sep7,Denver,2019,episode_vs_heat_only,-0.9818689473849382,True
p80_p20_min2_sep7,Houston,2019,episode_vs_reference,1.5200225440185877,True
p80_p20_min2_sep7,Houston,2019,heat_only_vs_reference,-1.7317134390215465,True
p80_p20_min2_sep7,Houston,2019,wind_only_vs_reference,3.650859442378349,True
p80_p20_min2_sep7,Houston,2019,other_compound_vs_reference,1.2563343391220156,True
p80_p20_min2_sep7,Houston,2019,episode_vs_wind_only,-2.130836898359761,True
p80_p20_min2_sep7,Houston,2019,episode_vs_heat_only,3.2517359830401342,True
p80_p20_min2_sep7,Los Angeles,2019,episode_vs_reference,4.077660639629291,True
p80_p20_min2_sep7,Los Angeles,2019,heat_only_vs_reference,0.6356535387907309,True
p80_p20_min2_sep7,Los Angeles,2019,wind_only_vs_reference,2.6652799308582353,True
p80_p20_min2_sep7,Los Angeles,2019,other_compound_vs_reference,2.513387325814489,True
p80_p20_min2_sep7,Los Angeles,2019,episode_vs_wind_only,1.4123807087710554,True
p80_p20_min2_sep7,Los Angeles,2019,episode_vs_heat_only,3.44200710083856,True
p80_p20_min2_sep7,New York,2019,episode_vs_reference,4.907453542592176,True
p80_p20_min2_sep7,New York,2019,heat_only_vs_reference,1.103142258426014,True
p80_p20_min2_sep7,New York,2019,wind_only_vs_reference,4.612217010156947,True
p80_p20_min2_sep7,New York,2019,other_compound_vs_reference,3.871421917988989,True
p80_p20_min2_sep7,New York,2019,episode_vs_wind_only,0.2952365324352293,True
p80_p20_min2_sep7,New York,2019,episode_vs_heat_only,3.804311284166162,True
p80_p20_min2_sep7,Philadelphia,2019,episode_vs_reference,2.160427026170819,True
p80_p20_min2_sep7,Philadelphia,2019,heat_only_vs_reference,0.7203326523678959,True
p80_p20_min2_sep7,Philadelphia,2019,wind_only_vs_reference,2.119387881696874,True
p80_p20_min2_sep7,Philadelphia,2019,other_compound_vs_reference,1.9493405589343462,True
p80_p20_min2_sep7,Philadelphia,2019,episode_vs_wind_only,0.0410391444739453,True
p80_p20_min2_sep7,Philadelphia,2019,episode_vs_heat_only,1.4400943738029233,True
p80_p20_min2_sep7,Phoenix,2019,episode_vs_reference,4.248526798053967,True
p80_p20_min2_sep7,Phoenix,2019,heat_only_vs_reference,-0.49917508270137906,True
p80_p20_min2_sep7,Phoenix,2019,wind_only_vs_reference,2.5934053857857693,True
p80_p20_min2_sep7,Phoenix,2019,other_compound_vs_reference,2.03740873488139,True
p80_p20_min2_sep7,Phoenix,2019,episode_vs_wind_only,1.6551214122681976,True
p80_p20_min2_sep7,Phoenix,2019,episode_vs_heat_only,4.747701880755346,True
p80_p20_min2_sep7,San Diego,2019,episode_vs_reference,2.5903815804327417,True
p80_p20_min2_sep7,San Diego,2019,heat_only_vs_reference,0.6860424621823864,True
p80_p20_min2_sep7,San Diego,2019,wind_only_vs_reference,1.1724617104427515,True
p80_p20_min2_sep7,San Diego,2019,other_compound_vs_reference,1.229020319775472,True
p80_p20_min2_sep7,San Diego,2019,episode_vs_wind_only,1.4179198699899902,True
p80_p20_min2_sep7,San Diego,2019,episode_vs_heat_only,1.9043391182503553,True
p80_p20_min2_sep7,Seattle,2019,episode_vs_reference,8.787226980335246,True
p80_p20_min2_sep7,Seattle,2019,heat_only_vs_reference,4.320737697209045,True
p80_p20_min2_sep7,Seattle,2019,wind_only_vs_reference,3.9155276105070755,True
p80_p20_min2_sep7,Seattle,2019,other_compound_vs_reference,7.9453872662298295,True
p80_p20_min2_sep7,Seattle,2019,episode_vs_wind_only,4.871699369828171,True
p80_p20_min2_sep7,Seattle,2019,episode_vs_heat_only,4.466489283126201,True
p80_p20_min2_sep7,Atlanta,2020,episode_vs_reference,2.582936067646996,True
p80_p20_min2_sep7,Atlanta,2020,heat_only_vs_reference,-0.24463612710257732,True
p80_p20_min2_sep7,Atlanta,2020,wind_only_vs_reference,1.8199801298424951,True
p80_p20_min2_sep7,Atlanta,2020,other_compound_vs_reference,0.7484458996132326,True
p80_p20_min2_sep7,Atlanta,2020,episode_vs_wind_only,0.762955937804501,True
p80_p20_min2_sep7,Atlanta,2020,episode_vs_heat_only,2.8275721947495733,True
p80_p20_min2_sep7,Chicago,2020,episode_vs_reference,3.4127829421360927,True
p80_p20_min2_sep7,Chicago,2020,heat_only_vs_reference,0.7087514360844547,True
p80_p20_min2_sep7,Chicago,2020,wind_only_vs_reference,4.615601115863151,True
p80_p20_min2_sep7,Chicago,2020,other_compound_vs_reference,5.455517376858669,True
p80_p20_min2_sep7,Chicago,2020,episode_vs_wind_only,-1.2028181737270582,True
p80_p20_min2_sep7,Chicago,2020,episode_vs_heat_only,2.704031506051638,True
p80_p20_min2_sep7,Dallas,2020,episode_vs_reference,1.9136180256818907,True
p80_p20_min2_sep7,Dallas,2020,heat_only_vs_reference,-1.300674400909707,True
p80_p20_min2_sep7,Dallas,2020,wind_only_vs_reference,3.266972450796678,True
p80_p20_min2_sep7,Dallas,2020,other_compound_vs_reference,1.6269172667638243,True
p80_p20_min2_sep7,Dallas,2020,episode_vs_wind_only,-1.3533544251147875,True
p80_p20_min2_sep7,Dallas,2020,episode_vs_heat_only,3.214292426591598,True
p80_p20_min2_sep7,Denver,2020,episode_vs_reference,-0.5411234255585119,True
p80_p20_min2_sep7,Denver,2020,heat_only_vs_reference,0.13802752392308637,True
p80_p20_min2_sep7,Denver,2020,wind_only_vs_reference,1.1026803944005528,True
p80_p20_min2_sep7,Denver,2020,other_compound_vs_reference,0.08300141617062828,True
p80_p20_min2_sep7,Denver,2020,episode_vs_wind_only,-1.6438038199590648,True
p80_p20_min2_sep7,Denver,2020,episode_vs_heat_only,-0.6791509494815983,True
p80_p20_min2_sep7,Houston,2020,episode_vs_reference,1.4434045871656578,True
p80_p20_min2_sep7,Houston,2020,heat_only_vs_reference,-1.4828365839771993,True
p80_p20_min2_sep7,Houston,2020,wind_only_vs_reference,3.483911408799349,True
p80_p20_min2_sep7,Houston,2020,other_compound_vs_reference,1.2520635068468902,True
p80_p20_min2_sep7,Houston,2020,episode_vs_wind_only,-2.0405068216336915,True
p80_p20_min2_sep7,Houston,2020,episode_vs_heat_only,2.9262411711428573,True
p80_p20_min2_sep7,Los Angeles,2020,episode_vs_reference,3.743229708851409,True
p80_p20_min2_sep7,Los Angeles,2020,heat_only_vs_reference,1.080869655518264,True
p80_p20_min2_sep7,Los Angeles,2020,wind_only_vs_reference,2.6995996025777247,True
p80_p20_min2_sep7,Los Angeles,2020,other_compound_vs_reference,3.9569304803736545,True
p80_p20_min2_sep7,Los Angeles,2020,episode_vs_wind_only,1.0436301062736844,True
p80_p20_min2_sep7,Los Angeles,2020,episode_vs_heat_only,2.662360053333145,True
p80_p20_min2_sep7,New York,2020,episode_vs_reference,4.652938210344845,True
p80_p20_min2_sep7,New York,2020,heat_only_vs_reference,1.2903997830308855,True
p80_p20_min2_sep7,New York,2020,wind_only_vs_reference,4.847409092570314,True
p80_p20_min2_sep7,New York,2020,other_compound_vs_reference,4.208650198026632,True
p80_p20_min2_sep7,New York,2020,episode_vs_wind_only,-0.1944708822254686,True
