model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
direct_episode_neither,Denver,2024,denver_2024-07-28,9,9,2,2,True,True,True
direct_episode_neither,Houston,2019,houston_2019-07-06,18,9,2,1,True,False,False
direct_episode_neither,Houston,2019,houston_2019-08-02,18,0,2,0,False,False,False
direct_episode_neither,Houston,2019,houston_2019-08-14,22,8,3,1,True,False,False
direct_episode_neither,Houston,2019,houston_2019-09-01,16,15,2,2,True,False,True
direct_episode_neither,Houston,2020,houston_2020-08-03,23,4,3,1,True,False,False
direct_episode_neither,Houston,2020,houston_2020-08-20,18,0,2,0,False,False,False
direct_episode_neither,Houston,2021,houston_2021-06-12,48,46,5,5,True,False,True
direct_episode_neither,Houston,2021,houston_2021-07-25,17,9,2,1,True,False,False
direct_episode_neither,Houston,2021,houston_2021-08-23,17,12,2,2,True,False,True
direct_episode_neither,Houston,2022,houston_2022-06-18,30,20,3,2,True,False,False
direct_episode_neither,Houston,2022,houston_2022-06-26,20,20,2,2,True,True,True
direct_episode_neither,Houston,2022,houston_2022-08-10,18,0,2,0,False,False,False
direct_episode_neither,Houston,2022,houston_2022-09-22,18,18,2,2,True,True,True
direct_episode_neither,Houston,2023,houston_2023-07-02,14,0,2,0,False,False,False
direct_episode_neither,Houston,2023,houston_2023-07-23,15,0,3,0,False,False,False
direct_episode_neither,Houston,2023,houston_2023-08-31,22,15,3,2,True,False,False
direct_episode_neither,Houston,2023,houston_2023-09-11,23,16,3,2,True,False,False
direct_episode_neither,Houston,2024,houston_2024-06-06,18,16,2,2,True,False,True
direct_episode_neither,Houston,2024,houston_2024-06-30,25,15,3,2,True,False,False
direct_episode_neither,Houston,2024,houston_2024-07-09,3,0,2,0,False,False,False
direct_episode_neither,Houston,2024,houston_2024-08-01,218,66,23,7,True,False,False
direct_episode_neither,Houston,2024,houston_2024-09-18,29,29,3,3,True,True,True
direct_episode_neither,Los Angeles,2019,los_angeles_2019-06-09,14,14,2,2,True,True,True
direct_episode_neither,Los Angeles,2019,los_angeles_2019-08-25,14,14,2,2,True,True,True
direct_episode_neither,Los Angeles,2019,los_angeles_2019-09-12,21,21,3,3,True,True,True
direct_episode_neither,Los Angeles,2020,los_angeles_2020-07-30,24,24,3,3,True,True,True
direct_episode_neither,Los Angeles,2020,los_angeles_2020-08-12,23,23,3,3,True,True,True
direct_episode_neither,Los Angeles,2020,los_angeles_2020-08-26,24,24,3,3,True,True,True
direct_episode_neither,Los Angeles,2020,los_angeles_2020-09-04,16,0,2,0,False,False,False
direct_episode_neither,Los Angeles,2020,los_angeles_2020-09-14,47,29,6,4,True,False,False
direct_episode_neither,Los Angeles,2020,los_angeles_2020-09-28,16,14,2,2,True,False,True
direct_episode_neither,Los Angeles,2020,los_angeles_2020-10-12,40,8,5,1,True,False,False
direct_episode_neither,Los Angeles,2021,los_angeles_2021-08-26,31,31,4,4,True,True,True
direct_episode_neither,Los Angeles,2021,los_angeles_2021-09-09,39,29,5,4,True,False,False
direct_episode_neither,Los Angeles,2022,los_angeles_2022-05-13,14,14,2,2,True,True,True
direct_episode_neither,Los Angeles,2022,los_angeles_2022-08-13,28,28,4,4,True,True,True
direct_episode_neither,Los Angeles,2022,los_angeles_2022-09-05,21,21,3,3,True,True,True
direct_episode_neither,Los Angeles,2022,los_angeles_2022-09-23,42,42,6,6,True,True,True
direct_episode_neither,Los Angeles,2023,los_angeles_2023-07-24,14,14,2,2,True,True,True
direct_episode_neither,Los Angeles,2023,los_angeles_2023-08-27,28,28,4,4,True,True,True
direct_episode_neither,Los Angeles,2023,los_angeles_2023-09-08,14,14,2,2,True,True,True
direct_episode_neither,Los Angeles,2023,los_angeles_2023-10-04,34,13,5,2,True,False,False
direct_episode_neither,Los Angeles,2024,los_angeles_2024-08-02,14,14,2,2,True,True,True
direct_episode_neither,Los Angeles,2024,los_angeles_2024-08-19,14,7,2,1,True,False,False
direct_episode_neither,Los Angeles,2024,los_angeles_2024-09-07,10,10,2,2,True,True,True
direct_episode_neither,Los Angeles,2024,los_angeles_2024-10-01,14,0,2,0,False,False,False
direct_episode_neither,New York,2019,new_york_2019-06-26,26,26,3,3,True,True,True
direct_episode_neither,New York,2019,new_york_2019-07-03,17,8,2,1,True,False,False
direct_episode_neither,New York,2019,new_york_2019-07-15,18,9,2,1,True,False,False
direct_episode_neither,New York,2019,new_york_2019-07-26,18,0,2,0,False,False,False
direct_episode_neither,New York,2019,new_york_2019-08-03,18,18,2,2,True,True,True
direct_episode_neither,New York,2019,new_york_2019-08-18,26,18,3,2,True,False,False
direct_episode_neither,New York,2020,new_york_2020-07-02,18,18,2,2,True,True,True
