period,classification,city,regime,variable,n,mean,median,q25,q75,minimum,maximum,sd
2019_2024,regime,Atlanta,wind_only,wind_speed_10m_mean,235,5.677375886524823,5.904166666666666,5.145833333333334,6.410416666666666,3.1916666666666664,6.770833333333333,0.8842131124287765
2019_2024,regime,Atlanta,wind_only,relative_humidity_2m_mean,235,74.4,75.625,69.33333333333334,81.35416666666667,50.833333333333336,90.625,9.025857126395081
2019_2024,regime,Atlanta,wind_only,precipitation_sum,235,3.0119148936170212,0.3,0.0,3.9,0.0,30.2,5.534432482080602
2019_2024,regime,Atlanta,wind_only,shortwave_radiation_sum,235,19.595642553191492,19.8432,16.704,22.870800000000003,3.546,31.0356,4.835462112447634
2019_2024,regime,Atlanta,wind_only,wind_direction_10m_dominant,235,188.4894947242805,181.6612540262915,106.25677885480735,273.9596696195467,3.646529794573036,358.15904092563494,96.88835944419887
2019_2024,regime,Atlanta,wind_only,pure_wind_run_days,235,2.3617021276595747,2.0,1.0,3.0,1.0,6.0,1.5334661580554807
2019_2024,regime,Atlanta,wind_only,low_wind_run_days,235,3.1829787234042555,2.0,1.0,4.0,1.0,15.0,2.6755716019163582
2019_2024,regime,Chicago,episode,no2_ppb,33,17.117043376262625,16.45,14.034722333333335,19.15277766666667,8.840962333333335,27.978125000000002,4.906767515903455
2019_2024,regime,Chicago,episode,n_available_sites,33,3.3333333333333335,3.0,3.0,4.0,1.0,4.0,0.7772815877574012
2019_2024,regime,Chicago,episode,temperature_2m_max,33,28.384848484848487,28.2,27.2,29.2,26.9,31.4,1.231137992905652
2019_2024,regime,Chicago,episode,wind_speed_10m_mean,33,8.308585858585857,8.3375,7.216666666666666,9.616666666666667,5.7375,10.2875,1.4575704624436567
2019_2024,regime,Chicago,episode,relative_humidity_2m_mean,33,73.71338383838383,76.25,68.16666666666667,80.83333333333333,54.708333333333336,85.58333333333333,8.367772311208679
2019_2024,regime,Chicago,episode,precipitation_sum,33,1.4242424242424243,0.0,0.0,1.0,0.0,12.3,2.9174079144668714
2019_2024,regime,Chicago,episode,shortwave_radiation_sum,33,23.277054545454547,23.3208,21.2544,26.4132,14.7132,28.6848,3.517404511593999
2019_2024,regime,Chicago,episode,wind_direction_10m_dominant,33,168.04544676763774,166.49549870974357,106.76954299803076,226.77484015699144,1.0844747343101533,316.40419432821426,77.7304794142078
2019_2024,regime,Chicago,episode,pure_wind_run_days,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Chicago,episode,low_wind_run_days,33,4.696969696969697,5.0,4.0,6.0,2.0,7.0,1.570924259887481
2019_2024,regime,Chicago,heat_only,no2_ppb,158,12.330566334915613,11.437500125,9.668750187499999,14.726562687500001,5.535417000000001,26.3,3.9836627438536123
2019_2024,regime,Chicago,heat_only,n_available_sites,158,3.5316455696202533,4.0,3.0,4.0,1.0,4.0,0.5718545768099293
2019_2024,regime,Chicago,heat_only,temperature_2m_max,158,29.13544303797468,28.8,27.7,30.075000000000003,26.9,35.1,1.7263442449722113
2019_2024,regime,Chicago,heat_only,wind_speed_10m_mean,158,15.49889240506329,15.139583333333334,12.545833333333334,18.109374999999996,10.75,27.070833333333336,3.6440135560824873
2019_2024,regime,Chicago,heat_only,relative_humidity_2m_mean,158,69.52215189873418,69.35416666666666,63.625,76.52083333333334,38.25,87.95833333333333,8.921420978489646
2019_2024,regime,Chicago,heat_only,precipitation_sum,158,2.4202531645569625,0.4,0.0,2.95,0.0,42.4,5.0765447837942785
2019_2024,regime,Chicago,heat_only,shortwave_radiation_sum,158,22.7001417721519,22.634999999999998,19.3752,26.2791,12.8376,30.7944,4.246376698028105
2019_2024,regime,Chicago,heat_only,wind_direction_10m_dominant,158,212.88927004078914,213.87176681853407,190.01849415787777,236.18202560875773,1.8784775963948108,343.88593598046924,49.38826631113188
2019_2024,regime,Chicago,heat_only,pure_wind_run_days,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Chicago,heat_only,low_wind_run_days,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Chicago,neither,no2_ppb,738,11.913474755758807,11.282676041666665,8.4082961875,14.94375,2.2652776666666665,27.83541675,4.7448308225398375
2019_2024,regime,Chicago,neither,n_available_sites,738,3.6991869918699187,4.0,3.0,4.0,1.0,4.0,0.4931271357796363
2019_2024,regime,Chicago,neither,temperature_2m_max,738,17.896883468834687,19.1,13.3,23.0,1.4,26.8,6.131904115032647
2019_2024,regime,Chicago,neither,wind_speed_10m_mean,738,16.644777551942184,15.599999999999998,13.078125,19.164583333333333,10.741666666666667,32.666666666666664,4.561236017903271
2019_2024,regime,Chicago,neither,relative_humidity_2m_mean,738,70.56769421860885,70.83333333333333,61.46874999999999,80.05208333333333,40.583333333333336,95.45833333333331,11.655523551068125
2019_2024,regime,Chicago,neither,precipitation_sum,738,3.9750677506775065,0.3999999999999999,0.0,4.5,0.0,79.9,8.037996709878795
2019_2024,regime,Chicago,neither,shortwave_radiation_sum,738,17.71495609756098,17.9136,11.5623,24.0066,1.5552,31.6584,7.510664599877669
2019_2024,regime,Chicago,neither,wind_direction_10m_dominant,738,164.71203080352248,175.5660202692369,45.244653970987585,255.29616918254442,0.231032703333652,359.3957435523071,110.31102734884374
2019_2024,regime,Chicago,neither,pure_wind_run_days,738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Chicago,neither,low_wind_run_days,738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Chicago,other_compound,no2_ppb,65,15.945780720512822,14.88229175,12.9385415,19.097916750000003,7.332971000000001,29.04479175,4.40688724709934
2019_2024,regime,Chicago,other_compound,n_available_sites,65,3.646153846153846,4.0,3.0,4.0,1.0,4.0,0.5709304147280458
2019_2024,regime,Chicago,other_compound,temperature_2m_max,65,28.321538461538463,28.1,27.4,28.9,26.9,33.3,1.2632414045438212
2019_2024,regime,Chicago,other_compound,wind_speed_10m_mean,65,8.382243589743592,8.5625,7.120833333333334,9.820833333333333,4.3,10.729166666666666,1.6943346797522674
2019_2024,regime,Chicago,other_compound,relative_humidity_2m_mean,65,71.12948717948719,72.125,66.54166666666667,76.33333333333333,49.333333333333336,85.58333333333333,7.883655554786567
2019_2024,regime,Chicago,other_compound,precipitation_sum,65,1.9461538461538461,0.0,0.0,1.0,0.0,43.2,6.159674223403503
2019_2024,regime,Chicago,other_compound,shortwave_radiation_sum,65,24.183581538461535,24.3288,22.536,27.1944,8.0136,29.7432,3.8379299019333124
2019_2024,regime,Chicago,other_compound,wind_direction_10m_dominant,65,188.6438110199798,205.1199943256928,149.290612095644,227.46056446947088,26.314143982729806,353.3643259349513,71.6043367977692
2019_2024,regime,Chicago,other_compound,pure_wind_run_days,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Chicago,other_compound,low_wind_run_days,65,3.1076923076923078,2.0,1.0,4.0,1.0,8.0,2.229931872018998
2019_2024,regime,Chicago,wind_only,no2_ppb,290,16.234420178448275,15.49593675,12.68515625,19.493749875,4.98541675,35.95104175,5.392061768550796
2019_2024,regime,Chicago,wind_only,n_available_sites,290,3.5448275862068965,4.0,3.0,4.0,1.0,4.0,0.6652970858084055
2019_2024,regime,Chicago,wind_only,temperature_2m_max,290,21.114827586206893,22.9,18.575,25.275,3.9,26.8,5.378563835459084
2019_2024,regime,Chicago,wind_only,wind_speed_10m_mean,290,8.601968390804597,8.908333333333333,7.625,9.672916666666667,4.529166666666667,10.729166666666666,1.4001920978416584
2019_2024,regime,Chicago,wind_only,relative_humidity_2m_mean,290,72.03433908045976,71.91666666666667,64.5,80.23958333333333,41.625,92.58333333333331,10.259589043118865
2019_2024,regime,Chicago,wind_only,precipitation_sum,290,1.430344827586207,0.0,0.0,0.875,0.0,24.0,3.689484245572754
2019_2024,regime,Chicago,wind_only,shortwave_radiation_sum,290,20.973016551724136,21.934800000000003,16.6689,25.7031,2.8908,30.906,5.965393525184514
2019_2024,regime,Chicago,wind_only,wind_direction_10m_dominant,290,131.6100122072791,112.81141891320738,55.38261915042682,195.9127667034087,1.7429254513724182,359.7148266054155,90.87110057164698
2019_2024,regime,Chicago,wind_only,pure_wind_run_days,290,2.013793103448276,2.0,1.0,3.0,1.0,5.0,1.0619965977604142
2019_2024,regime,Chicago,wind_only,low_wind_run_days,290,2.6655172413793102,2.0,1.0,3.0,1.0,8.0,1.8116836998829098
2019_2024,regime,Dallas,episode,no2_ppb,46,7.985052088768115,7.731763333333333,6.521058125000001,9.097524354166666,4.016545666666667,14.887500000000001,2.5186199088507983
