city,station_id,date,stratum,regime,episode_id,weight,pure_wind_run_days,persistent_wind_only
Atlanta,13-089-0003,2020-07-09,13-089-0003|2020|7|3,wind_only,,0.3333333333333333,2,True
Atlanta,13-121-0056,2020-07-09,13-121-0056|2020|7|3,wind_only,,0.3333333333333333,2,True
Atlanta,13-089-0002,2020-07-14,13-089-0002|2020|7|1,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-14,13-089-0003|2020|7|1,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-14,13-121-0056|2020|7|1,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-15,13-089-0002|2020|7|2,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-15,13-089-0003|2020|7|2,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-15,13-121-0056|2020|7|2,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-16,13-089-0002|2020|7|3,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-16,13-089-0003|2020|7|3,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-16,13-121-0056|2020|7|3,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-17,13-089-0002|2020|7|4,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-17,13-089-0003|2020|7|4,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-17,13-121-0056|2020|7|4,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-18,13-089-0002|2020|7|5,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-18,13-089-0003|2020|7|5,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-18,13-121-0056|2020|7|5,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-21,13-089-0002|2020|7|1,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-21,13-089-0003|2020|7|1,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-21,13-121-0056|2020|7|1,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-22,13-089-0002|2020|7|2,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-22,13-089-0003|2020|7|2,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-22,13-121-0056|2020|7|2,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-23,13-089-0002|2020|7|3,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-07-23,13-089-0003|2020|7|3,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-07-23,13-121-0056|2020|7|3,episode,atlanta_2020-07-14,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-07-24,13-089-0002|2020|7|4,wind_only,,0.3333333333333333,2,True
Atlanta,13-089-0003,2020-07-24,13-089-0003|2020|7|4,wind_only,,0.3333333333333333,2,True
Atlanta,13-121-0056,2020-07-24,13-121-0056|2020|7|4,wind_only,,0.3333333333333333,2,True
Atlanta,13-089-0002,2020-07-25,13-089-0002|2020|7|5,wind_only,,0.3333333333333333,2,True
Atlanta,13-089-0003,2020-07-25,13-089-0003|2020|7|5,wind_only,,0.3333333333333333,2,True
Atlanta,13-121-0056,2020-07-25,13-121-0056|2020|7|5,wind_only,,0.3333333333333333,2,True
Atlanta,13-089-0002,2020-07-28,13-089-0002|2020|7|1,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0003,2020-07-28,13-089-0003|2020|7|1,wind_only,,0.3333333333333333,1,False
Atlanta,13-121-0056,2020-07-28,13-121-0056|2020|7|1,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0002,2020-08-05,13-089-0002|2020|8|2,episode,atlanta_2020-08-05,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-08-05,13-089-0003|2020|8|2,episode,atlanta_2020-08-05,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-08-05,13-121-0056|2020|8|2,episode,atlanta_2020-08-05,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-08-07,13-089-0002|2020|8|4,episode,atlanta_2020-08-05,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-08-07,13-089-0003|2020|8|4,episode,atlanta_2020-08-05,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-08-07,13-121-0056|2020|8|4,episode,atlanta_2020-08-05,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-08-12,13-089-0002|2020|8|2,episode,atlanta_2020-08-12,0.3333333333333333,0,False
Atlanta,13-089-0003,2020-08-12,13-089-0003|2020|8|2,episode,atlanta_2020-08-12,0.3333333333333333,0,False
Atlanta,13-121-0056,2020-08-12,13-121-0056|2020|8|2,episode,atlanta_2020-08-12,0.3333333333333333,0,False
Atlanta,13-089-0002,2020-08-14,13-089-0002|2020|8|4,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0003,2020-08-14,13-089-0003|2020|8|4,wind_only,,0.3333333333333333,1,False
Atlanta,13-121-0056,2020-08-14,13-121-0056|2020|8|4,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0002,2020-08-19,13-089-0002|2020|8|2,wind_only,,0.3333333333333333,3,True
Atlanta,13-089-0003,2020-08-19,13-089-0003|2020|8|2,wind_only,,0.3333333333333333,3,True
Atlanta,13-121-0056,2020-08-19,13-121-0056|2020|8|2,wind_only,,0.3333333333333333,3,True
Atlanta,13-089-0002,2020-08-21,13-089-0002|2020|8|4,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0003,2020-08-21,13-089-0003|2020|8|4,wind_only,,0.3333333333333333,1,False
Atlanta,13-121-0056,2020-08-21,13-121-0056|2020|8|4,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0002,2020-08-26,13-089-0002|2020|8|2,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0003,2020-08-26,13-089-0003|2020|8|2,wind_only,,0.3333333333333333,1,False
Atlanta,13-121-0056,2020-08-26,13-121-0056|2020|8|2,wind_only,,0.3333333333333333,1,False
Atlanta,13-089-0002,2021-07-14,13-089-0002|2021|7|2,wind_only,,0.3333333333333333,3,True
Atlanta,13-089-0003,2021-07-14,13-089-0003|2021|7|2,wind_only,,0.3333333333333333,3,True
Atlanta,13-121-0056,2021-07-14,13-121-0056|2021|7|2,wind_only,,0.3333333333333333,3,True
Atlanta,13-089-0002,2021-07-15,13-089-0002|2021|7|3,wind_only,,0.3333333333333333,3,True
Atlanta,13-089-0003,2021-07-15,13-089-0003|2021|7|3,wind_only,,0.3333333333333333,3,True
Atlanta,13-121-0056,2021-07-15,13-121-0056|2021|7|3,wind_only,,0.3333333333333333,3,True
Atlanta,13-089-0002,2021-07-20,13-089-0002|2021|7|1,wind_only,,0.3333333333333333,6,True
Atlanta,13-089-0003,2021-07-20,13-089-0003|2021|7|1,wind_only,,0.3333333333333333,6,True
Atlanta,13-121-0056,2021-07-20,13-121-0056|2021|7|1,wind_only,,0.3333333333333333,6,True
Atlanta,13-089-0002,2021-07-21,13-089-0002|2021|7|2,wind_only,,0.3333333333333333,6,True
Atlanta,13-089-0003,2021-07-21,13-089-0003|2021|7|2,wind_only,,0.3333333333333333,6,True
Atlanta,13-121-0056,2021-07-21,13-121-0056|2021|7|2,wind_only,,0.3333333333333333,6,True
Atlanta,13-089-0002,2021-07-22,13-089-0002|2021|7|3,wind_only,,0.3333333333333333,6,True
