model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
phase_calendar_secondary,post3_6_vs_reference,Philadelphia,-0.2087511480319669,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,post3_6_vs_reference,Phoenix,-0.19992560860066902,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,post3_6_vs_reference,San Diego,-0.05843921029773429,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,post3_6_vs_reference,Seattle,-0.2608424137939606,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Atlanta,2.9054955478511166,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Chicago,2.6518918384655534,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Dallas,2.8695807373259044,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Denver,2.8934549018178957,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Houston,2.9718403920149052,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Los Angeles,2.499737456708953,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,New York,2.779672567848543,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Philadelphia,2.9642379637692096,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Phoenix,2.824095823898234,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,San Diego,2.8235623689110967,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_calendar_secondary,other_compound_vs_reference,Seattle,2.4400562086782314,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
