model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-07-27,18,17,6,6,True,False,True
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-08-10,15,15,5,5,True,True,True
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-08-17,9,9,3,3,True,True,True
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-09-08,15,15,5,5,True,True,True
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-09-29,15,15,5,5,True,True,True
p80_p30_min3_sep7,Atlanta,2020,atlanta_2020-07-14,30,30,10,10,True,True,True
p80_p30_min3_sep7,Atlanta,2020,atlanta_2020-08-05,15,15,5,5,True,True,True
p80_p30_min3_sep7,Atlanta,2021,atlanta_2021-07-26,12,12,4,4,True,True,True
p80_p30_min3_sep7,Atlanta,2021,atlanta_2021-08-12,9,9,3,3,True,True,True
p80_p30_min3_sep7,Atlanta,2021,atlanta_2021-08-23,9,9,3,3,True,True,True
p80_p30_min3_sep7,Atlanta,2022,atlanta_2022-07-02,20,20,7,7,True,True,True
p80_p30_min3_sep7,Atlanta,2023,atlanta_2023-07-25,15,15,5,5,True,True,True
p80_p30_min3_sep7,Atlanta,2024,atlanta_2024-07-04,12,12,4,4,True,True,True
p80_p30_min3_sep7,Atlanta,2024,atlanta_2024-07-12,12,12,4,4,True,True,True
p80_p30_min3_sep7,Atlanta,2024,atlanta_2024-08-27,21,21,7,7,True,True,True
p80_p30_min3_sep7,Chicago,2020,chicago_2020-07-05,16,16,4,4,True,True,True
p80_p30_min3_sep7,Chicago,2020,chicago_2020-08-20,9,9,3,3,True,True,True
p80_p30_min3_sep7,Chicago,2021,chicago_2021-07-25,13,13,4,4,True,True,True
p80_p30_min3_sep7,Chicago,2021,chicago_2021-08-18,9,9,3,3,True,True,True
p80_p30_min3_sep7,Chicago,2024,chicago_2024-07-30,12,12,3,3,True,True,True
p80_p30_min3_sep7,Chicago,2024,chicago_2024-09-19,10,10,3,3,True,True,True
