definition,city,year,episode_id,start_date,end_date,duration_days
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-07-27,2019-07-27,2019-08-01,6
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-08-10,2019-08-10,2019-08-14,5
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-08-17,2019-08-17,2019-08-19,3
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-09-08,2019-09-08,2019-09-12,5
p80_p30_min3_sep7,Atlanta,2019,atlanta_2019-09-29,2019-09-29,2019-10-03,5
p80_p30_min3_sep7,Atlanta,2020,atlanta_2020-07-14,2020-07-14,2020-07-23,10
p80_p30_min3_sep7,Atlanta,2020,atlanta_2020-08-05,2020-08-05,2020-08-09,5
p80_p30_min3_sep7,Atlanta,2021,atlanta_2021-07-26,2021-07-26,2021-07-29,4
p80_p30_min3_sep7,Atlanta,2021,atlanta_2021-08-12,2021-08-12,2021-08-14,3
p80_p30_min3_sep7,Atlanta,2021,atlanta_2021-08-23,2021-08-23,2021-08-25,3
p80_p30_min3_sep7,Atlanta,2022,atlanta_2022-07-02,2022-07-02,2022-07-08,7
p80_p30_min3_sep7,Atlanta,2023,atlanta_2023-07-25,2023-07-25,2023-07-29,5
p80_p30_min3_sep7,Atlanta,2024,atlanta_2024-07-04,2024-07-04,2024-07-07,4
p80_p30_min3_sep7,Atlanta,2024,atlanta_2024-07-12,2024-07-12,2024-07-15,4
p80_p30_min3_sep7,Atlanta,2024,atlanta_2024-08-27,2024-08-27,2024-09-02,7
p80_p30_min3_sep7,Atlanta,2025,atlanta_2025-06-22,2025-06-22,2025-06-25,4
p80_p30_min3_sep7,Atlanta,2025,atlanta_2025-07-29,2025-07-29,2025-07-31,3
p80_p30_min3_sep7,Atlanta,2025,atlanta_2025-08-15,2025-08-15,2025-08-18,4
p80_p30_min3_sep7,Chicago,2020,chicago_2020-07-05,2020-07-05,2020-07-08,4
p80_p30_min3_sep7,Chicago,2020,chicago_2020-08-20,2020-08-20,2020-08-22,3
p80_p30_min3_sep7,Chicago,2021,chicago_2021-07-25,2021-07-25,2021-07-28,4
p80_p30_min3_sep7,Chicago,2021,chicago_2021-08-18,2021-08-18,2021-08-20,3
p80_p30_min3_sep7,Chicago,2024,chicago_2024-07-30,2024-07-30,2024-08-01,3
p80_p30_min3_sep7,Chicago,2024,chicago_2024-09-19,2024-09-19,2024-09-21,3
p80_p30_min3_sep7,Chicago,2025,chicago_2025-06-29,2025-06-29,2025-07-04,6
p80_p30_min3_sep7,Chicago,2025,chicago_2025-07-26,2025-07-26,2025-07-29,4
p80_p30_min3_sep7,Dallas,2019,dallas_2019-09-02,2019-09-02,2019-09-06,5
p80_p30_min3_sep7,Dallas,2019,dallas_2019-09-13,2019-09-13,2019-09-16,4
p80_p30_min3_sep7,Dallas,2021,dallas_2021-07-26,2021-07-26,2021-07-31,6
