model,contrast,estimate_ppb,status,cross_city_summary_lower,cross_city_summary_upper,cross_city_summary_note,n_cities,n_estimable_cities,missing_cities,uncertainty_status,n_station_days,n_city_days,n_strata,n_episode_station_days,n_episode_city_days,n_episodes
p80_p30_min3_sep7,episode_vs_reference,,unavailable_all_11_city_target,,,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,9,Denver;Phoenix,point_stage_year_diagnostics_pending,69326,14122,16542,1922,366,86
p80_p30_min3_sep7,heat_only_vs_reference,0.5344550336484903,estimable_all_11_cities,-0.3518221249587813,1.420732192255762,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,1922,366,86
p80_p30_min3_sep7,wind_only_vs_reference,2.8206218775105145,estimable_all_11_cities,2.0443842707929942,3.596859484228035,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,1922,366,86
p80_p30_min3_sep7,other_compound_vs_reference,2.824031037311768,estimable_all_11_cities,1.491533076059012,4.156528998564524,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,11,,point_stage_year_diagnostics_pending,69326,14122,16542,1922,366,86
p80_p30_min3_sep7,episode_vs_wind_only,,unavailable_all_11_city_target,,,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,9,Denver;Phoenix,point_stage_year_diagnostics_pending,69326,14122,16542,1922,366,86
p80_p30_min3_sep7,episode_vs_heat_only,,unavailable_all_11_city_target,,,"Cross-city t summary of dispersion, df=10 under approximate independent-city conditions; not guaranteed 95% coverage of the fixed heterogeneous 11-city target.",11,9,Denver;Phoenix,point_stage_year_diagnostics_pending,69326,14122,16542,1922,366,86
