model,city,contrast,estimate_ppb,estimable,diagnostic_reason,support_station_days,strata,unique_weather_days,episode_station_days,episode_city_days,observed_episodes,within_rank,parameters,condition_number,contrast_projection_max_error,jackknife_status,jackknife_se,jackknife_lower,jackknife_upper,delete_year_attempted,delete_year_unavailable,unavailable_when_omitting_years,city_year_bootstrap_attempted,city_year_bootstrap_valid,city_year_bootstrap_failed,note
direct_episode_wind,Philadelphia,episode_vs_wind_only,-0.946636941694567,True,estimable,256,110,59,113,26,12,12,12,5072.189938951689,1.3322676295501878e-15,delete_year_jackknife_diagnostic_t_df_5,1.25392218921229,-4.169946544585002,2.276672661195868,6,0,,5000,4657,343,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_episode_wind,Phoenix,episode_vs_wind_only,-3.540907325342083,True,estimable,118,42,25,52,11,7,12,12,7469.822084110689,5.329070518200751e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,1,2021,5000,3324,1676,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_episode_wind,San Diego,episode_vs_wind_only,0.4115646725783941,True,estimable_but_ill_conditioned_no_sample_or_model_change,473,182,119,190,48,21,12,12,77973003391.13947,7.008282842946301e-14,delete_year_jackknife_diagnostic_t_df_5,0.8117658961781336,-1.6751459949261505,2.4982753400829387,6,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_episode_wind,Seattle,episode_vs_wind_only,-9.327293738744627,True,estimable_but_ill_conditioned_no_sample_or_model_change,52,22,26,22,11,8,12,12,19309323207.24713,8.221689995480119e-11,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,2,2019;2022,5000,1749,3251,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Atlanta,episode_vs_persistent_wind_only,1.1130815084840568,True,estimable,181,70,62,94,32,11,12,12,4723.381356593765,1.9984014443252818e-15,delete_year_jackknife_diagnostic_t_df_5,1.4834059247562374,-2.7001348165696166,4.92629783353773,6,0,,5000,4949,51,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Chicago,episode_vs_persistent_wind_only,3.1043800125408865,True,estimable,90,42,29,46,15,10,12,12,8939.798501444597,5.329070518200751e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,2,2023;2024,5000,1847,3153,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Dallas,episode_vs_persistent_wind_only,-0.9955054800646854,True,estimable,137,55,48,55,19,8,12,12,2050.469730649308,5.051514762044462e-15,delete_year_jackknife_diagnostic_t_df_5,1.597922923585526,-5.103097122180513,3.112086162051142,6,0,,5000,4127,873,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Denver,episode_vs_persistent_wind_only,,False,contrast_not_in_within_design_row_space_after_adjustment,52,22,12,22,5,3,7,12,2.0664372723474253e+17,0.3707395859804501,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,6,2019;2020;2021;2022;2023;2024,5000,0,5000,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Houston,episode_vs_persistent_wind_only,-1.1920032897483372,True,estimable,656,240,82,326,40,14,12,12,4868.036389508772,2.886579864025407e-15,delete_year_jackknife_diagnostic_t_df_5,1.7872162195743309,-5.786188840140715,3.4021822606440413,6,0,,5000,4874,126,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Los Angeles,episode_vs_persistent_wind_only,-1.859409506870275,True,estimable_but_ill_conditioned_no_sample_or_model_change,775,276,109,322,45,16,12,12,13459651.544445105,9.18709552877317e-15,delete_year_jackknife_diagnostic_t_df_5,2.812351923017671,-9.08879027559636,5.369971261855809,6,0,,5000,4984,16,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,New York,episode_vs_persistent_wind_only,1.7111416490899298,True,estimable,333,155,41,164,20,10,12,12,24033.986844391187,3.1086244689504383e-15,delete_year_jackknife_diagnostic_t_df_5,5.551915545307831,-12.560511604665264,15.982794902845123,6,0,,5000,3926,1074,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Philadelphia,episode_vs_persistent_wind_only,-1.3646304605069544,True,estimable,193,85,44,85,19,8,12,12,6029.216429033956,3.1086244689504383e-15,delete_year_jackknife_diagnostic_t_df_5,2.1524181891978684,-6.897597560352203,4.168336639338294,6,0,,5000,4009,991,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Phoenix,episode_vs_persistent_wind_only,63.56700048351195,True,estimable_but_ill_conditioned_no_sample_or_model_change,97,34,20,44,9,5,12,12,48615455.354937226,2.944489096989855e-11,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,1,2021,5000,3324,1676,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,San Diego,episode_vs_persistent_wind_only,0.6857195927827799,True,estimable_but_ill_conditioned_no_sample_or_model_change,377,146,97,154,40,17,11,12,3.1929152841012454e+18,1.7763568394002505e-15,delete_year_jackknife_diagnostic_t_df_5,0.9999429209210768,-1.88471551641006,3.25615470197562,6,0,,5000,4996,4,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
persistent_wind_comparator,Seattle,episode_vs_persistent_wind_only,,False,contrast_not_in_within_design_row_space_after_adjustment,32,14,16,14,7,5,9,12,1.0597651236654196e+18,0.016823807866739315,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,6,2019;2020;2021;2022;2023;2024,5000,0,5000,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Atlanta,episode_vs_wind_only,0.2718246846483119,True,estimable,276,101,95,137,47,20,15,15,2047.6032073328893,1.2663481374630692e-15,delete_year_jackknife_diagnostic_t_df_5,0.5894458102153819,-1.2433940081832793,1.787043377479903,6,0,,5000,4999,1,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Chicago,episode_vs_wind_only,-0.1341717371532387,True,estimable,133,61,43,65,21,12,15,15,12627.850711535986,3.1437272731821616e-15,delete_year_jackknife_diagnostic_t_df_5,1.325375290334656,-3.5411573838887125,3.272813909582235,6,0,,5000,3510,1490,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Dallas,episode_vs_wind_only,0.4165451277072237,True,estimable,168,67,57,67,22,10,15,15,1249.615845720631,5.7289242794134054e-15,delete_year_jackknife_diagnostic_t_df_5,1.640257144960951,-3.7998700949020794,4.632960350316526,6,0,,5000,4058,942,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Denver,episode_vs_wind_only,,False,contrast_not_in_within_design_row_space_after_adjustment,64,26,15,26,6,4,9,15,2.714255902290694e+18,0.171688473066123,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,6,2019;2020;2021;2022;2023;2024,5000,0,5000,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Houston,episode_vs_wind_only,-1.269550332891068,True,estimable,792,288,100,374,46,18,15,15,5702.537614557151,2.0747292772682613e-15,delete_year_jackknife_diagnostic_t_df_5,0.5273279208049749,-2.6250899075362017,0.0859892417540655,6,0,,5000,4978,22,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Los Angeles,episode_vs_wind_only,-1.859402693530188,True,estimable,886,314,124,360,50,18,15,15,201401.34703658536,3.0574600912306922e-15,delete_year_jackknife_diagnostic_t_df_5,2.3704275722773245,-7.952780753517766,4.23397536645739,6,0,,5000,4984,16,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,New York,episode_vs_wind_only,2.53465622401382,True,estimable,607,251,75,276,34,19,15,15,16484.45357367524,6.079344171355184e-15,delete_year_jackknife_diagnostic_t_df_5,0.6457959665187823,0.8745848429534404,4.194727605074199,6,0,,5000,4892,108,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Philadelphia,episode_vs_wind_only,-0.8400771738479402,True,estimable,256,110,59,113,26,12,15,15,5537.26591036204,3.3792413312028202e-15,delete_year_jackknife_diagnostic_t_df_5,1.1749634352625338,-3.8604168380706554,2.1802624903747736,6,0,,5000,4184,816,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Phoenix,episode_vs_wind_only,-8.14366704849331,True,estimable,118,42,25,52,11,7,15,15,42216.36050356261,1.9622814421077162e-14,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,1,2021,5000,2353,2647,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,San Diego,episode_vs_wind_only,0.3711932875071759,True,estimable_but_ill_conditioned_no_sample_or_model_change,473,182,119,190,48,21,15,15,79140881122.03026,2.0373633335957209e-13,delete_year_jackknife_diagnostic_t_df_5,0.7972220872035838,-1.6781313288264263,2.4205179038407785,6,0,,5000,4996,4,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
direct_wind_spline,Seattle,episode_vs_wind_only,-9.824615965017845,True,estimable_but_ill_conditioned_no_sample_or_model_change,52,22,26,22,11,8,15,15,82908036143.53073,5.5241522385422475e-11,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,6,5,2019;2020;2021;2022;2023,5000,262,4738,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Atlanta,episode_vs_reference,1.5333601310274425,True,estimable,558,146,210,39,13,4,15,15,428.46254129772746,5.162970745375972e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Atlanta,heat_only_vs_reference,0.0461365537491186,True,estimable,558,146,210,39,13,4,15,15,428.46254129772746,4.576200529626817e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Atlanta,wind_only_vs_reference,2.193490301767609,True,estimable,558,146,210,39,13,4,15,15,428.46254129772746,1.0503879704956485e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Atlanta,other_compound_vs_reference,1.9658083754969031,True,estimable,558,146,210,39,13,4,15,15,428.46254129772746,3.1178943975251894e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Atlanta,episode_vs_wind_only,-0.6601301707401666,True,estimable,558,146,210,39,13,4,15,15,428.46254129772746,5.0434916659680695e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Atlanta,episode_vs_heat_only,1.4872235772783235,True,estimable,558,146,210,39,13,4,15,15,428.46254129772746,8.826273045769994e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Chicago,episode_vs_reference,4.825023870966827,True,estimable,760,191,214,46,14,4,15,15,199.4431181009296,1.27675647831893e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Chicago,heat_only_vs_reference,-1.2070654715630988,True,estimable,760,191,214,46,14,4,15,15,199.4431181009296,1.3322676295501878e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Chicago,wind_only_vs_reference,3.415405259962492,True,estimable,760,191,214,46,14,4,15,15,199.4431181009296,7.450637329320386e-16,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Chicago,other_compound_vs_reference,5.546360123690997,True,estimable,760,191,214,46,14,4,15,15,199.4431181009296,2.4089044767708134e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Chicago,episode_vs_wind_only,1.409618611004336,True,estimable,760,191,214,46,14,4,15,15,199.4431181009296,1.0456045751450205e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Chicago,episode_vs_heat_only,6.032089342529926,True,estimable,760,191,214,46,14,4,15,15,199.4431181009296,5.793976409762536e-16,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Dallas,episode_vs_reference,1.279176519522487,True,estimable,626,147,214,18,6,2,15,15,270.9966402181383,5.2024357044544445e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Dallas,heat_only_vs_reference,-0.7521978616425522,True,estimable,626,147,214,18,6,2,15,15,270.9966402181383,1.0772632785815972e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Dallas,wind_only_vs_reference,3.2010076969678884,True,estimable,626,147,214,18,6,2,15,15,270.9966402181383,1.044241330259878e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Dallas,other_compound_vs_reference,1.2815392689839644,True,estimable,626,147,214,18,6,2,15,15,270.9966402181383,3.344546861683284e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Dallas,episode_vs_wind_only,-1.9218311774454016,True,estimable,626,147,214,18,6,2,15,15,270.9966402181383,5.7245874707234634e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Dallas,episode_vs_heat_only,2.031374381165039,True,estimable,626,147,214,18,6,2,15,15,270.9966402181383,4.6629367034256575e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Denver,episode_vs_reference,,False,no_retained_episode_station_days_in_this_city_and_specification,1010,243,214,0,0,0,14,15,inf,1.0,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,0,5000,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Denver,heat_only_vs_reference,0.3621623378675275,True,estimable_but_ill_conditioned_no_sample_or_model_change,1010,243,214,0,0,0,14,15,inf,1.1969591984239969e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Denver,wind_only_vs_reference,1.6964011166557154,True,estimable_but_ill_conditioned_no_sample_or_model_change,1010,243,214,0,0,0,14,15,inf,1.5970794065138038e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Denver,other_compound_vs_reference,2.948369182811668,True,estimable_but_ill_conditioned_no_sample_or_model_change,1010,243,214,0,0,0,14,15,inf,9.103828801926284e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
