city,year,episode_id,event_mean_n_sites,control_mean_n_sites,site_count_difference,roster_jaccard,common_qualified_sites,common_site_ids,original_change_ppb,common_site_change_ppb
Chicago,2024,chicago_2024-09-19,3.3333333333333335,4.0,-0.6666666666666665,1.0,3,17-031-0219;17-031-3103;17-031-4002,-6.023084785714284,-7.626612523809531
Chicago,2025,chicago_2025-06-29,3.0,4.0,-1.0,1.0,2,17-031-3103;17-031-4002,5.146076678571426,4.286647892857145
Chicago,2025,chicago_2025-07-14,4.0,3.5,0.5,1.0,2,17-031-3103;17-031-4002,9.451378750000002,4.353463250000001
Chicago,2025,chicago_2025-07-26,3.0,3.0,0.0,0.75,3,17-031-0076;17-031-0219;17-031-3103,2.302389107142858,1.0523891785714294
Dallas,2019,dallas_2019-07-31,4.0,4.0,0.0,1.0,4,48-113-0069;48-113-0075;48-113-0087;48-113-1067,-1.052512142857143,-1.0525121428571427
Dallas,2019,dallas_2019-09-02,3.6,3.6,0.0,1.0,2,48-113-0075;48-113-1067,4.225596,3.9131972285714287
Dallas,2019,dallas_2019-09-13,4.0,3.75,0.25,1.0,3,48-113-0075;48-113-0087;48-113-1067,-0.4052632500000008,0.6579718392857119
Dallas,2021,dallas_2021-06-13,4.0,4.0,0.0,1.0,4,48-113-0069;48-113-0075;48-113-0087;48-113-1067,2.168357928571429,2.168357928571429
Dallas,2021,dallas_2021-07-26,3.3333333333333335,4.0,-0.6666666666666665,1.0,3,48-113-0075;48-113-0087;48-113-1067,1.0137358095238067,1.2415906904761895
Dallas,2021,dallas_2021-08-25,3.5,3.0,0.5,0.75,2,48-113-0069;48-113-0087,-3.5813585000000003,-3.307673535714284
Dallas,2022,dallas_2022-06-17,4.0,3.5,0.5,1.0,3,48-113-0069;48-113-0075;48-113-1067,-0.8822152142857123,0.18410749999999965
Dallas,2022,dallas_2022-09-20,3.0,4.0,-1.0,1.0,3,48-113-0069;48-113-0087;48-113-1067,-0.7667377619047642,-2.4723954285714305
Dallas,2023,dallas_2023-07-29,3.0,4.0,-1.0,0.75,2,48-113-0069;48-113-0087,5.930782261904761,2.735508023809522
Dallas,2023,dallas_2023-08-23,4.0,4.0,0.0,1.0,4,48-113-0069;48-113-0075;48-113-0087;48-113-1067,4.08991375,4.08991375
Dallas,2024,dallas_2024-07-10,4.0,3.5,0.5,1.0,3,48-113-0069;48-113-0075;48-113-0087,4.352508464285714,4.78460692857143
Dallas,2024,dallas_2024-08-02,3.0,4.0,-1.0,0.75,3,48-113-0069;48-113-0075;48-113-1067,3.61930142857143,5.4356451428571395
Dallas,2025,dallas_2025-07-29,3.0,3.0,0.0,1.0,3,48-113-0075;48-113-0087;48-113-1067,5.173779619047616,5.173779619047616
Dallas,2025,dallas_2025-08-18,3.0,3.0,0.0,1.0,3,48-113-0075;48-113-0087;48-113-1067,0.913766142857142,0.913766142857142
Denver,2019,denver_2019-08-05,5.0,5.0,0.0,1.0,5,08-001-3001;08-031-0002;08-031-0026;08-031-0027;08-031-0028,-2.417998142857144,-2.4179981428571438
Denver,2019,denver_2019-08-18,5.0,3.5,1.5,1.0,3,08-031-0002;08-031-0026;08-031-0028,2.561399178571433,5.51874542857143
Denver,2021,denver_2021-07-26,4.0,5.0,-1.0,1.0,4,08-001-3001;08-031-0002;08-031-0027;08-031-0028,2.919257964285711,3.814719285714288
Denver,2021,denver_2021-08-23,5.0,3.0,2.0,1.0,3,08-031-0002;08-031-0026;08-031-0028,9.272872071428573,9.423154428571431
Denver,2022,denver_2022-08-08,4.0,5.0,-1.0,0.8,4,08-031-0002;08-031-0026;08-031-0027;08-031-0028,-6.155512250000001,-5.332935571428575
Denver,2024,denver_2024-07-23,5.0,5.0,0.0,1.0,3,08-001-3001;08-031-0027;08-031-0028,7.833990499999999,6.569353857142861
Denver,2025,denver_2025-07-08,4.5,5.0,-0.5,1.0,4,08-001-3001;08-031-0002;08-031-0026;08-031-0027,6.614949928571427,6.09040639285714
Houston,2019,houston_2019-07-06,9.0,9.0,0.0,1.0,9,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052;48-201-1066,-4.6019035,-4.6019035
Houston,2019,houston_2019-08-02,9.0,8.5,0.5,1.0,7,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1052,-0.2822551428571414,-0.8500802142857156
Houston,2019,houston_2019-08-14,7.333333333333333,9.0,-1.666666666666667,1.0,6,48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1035;48-201-1052,1.7892941666666695,1.7351287619047646
Houston,2019,houston_2019-09-01,8.0,8.0,0.0,1.0,7,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1052,3.853455642857144,4.7602499285714295
