city,station_id,year,valid_warm_days,mean_no2_ppb,coverage_fraction,core_80_percent
Atlanta,13-089-0002,2019,191,8.607868528795812,0.8925233644859814,True
Atlanta,13-089-0002,2020,212,6.176594561320755,0.9906542056074766,True
Atlanta,13-089-0002,2021,204,6.676914480392156,0.9532710280373832,True
Atlanta,13-089-0002,2022,184,7.121486711956521,0.8598130841121495,True
Atlanta,13-089-0002,2023,209,7.795297363636364,0.9766355140186916,True
Atlanta,13-089-0002,2024,204,6.970897151960784,0.9532710280373832,True
Atlanta,13-089-0002,2025,193,5.954255637305699,0.9018691588785047,True
Atlanta,13-089-0003,2019,204,14.562464754901962,0.9532710280373832,True
Atlanta,13-089-0003,2020,214,12.689127658878505,1.0,True
Atlanta,13-089-0003,2021,213,12.328567995305164,0.9953271028037384,True
Atlanta,13-089-0003,2022,213,14.343213,0.9953271028037384,True
Atlanta,13-089-0003,2023,211,14.582484663507108,0.985981308411215,True
Atlanta,13-089-0003,2024,205,13.259972190243904,0.9579439252336449,True
Atlanta,13-089-0003,2025,194,13.262524077319586,0.9065420560747663,True
Atlanta,13-121-0056,2019,181,15.592246480662984,0.8457943925233645,True
Atlanta,13-121-0056,2020,212,14.078850382075471,0.9906542056074766,True
Atlanta,13-121-0056,2021,213,15.961408967136151,0.9953271028037384,True
Atlanta,13-121-0056,2022,213,14.743574037558684,0.9953271028037384,True
Atlanta,13-121-0056,2023,212,14.350756853773584,0.9906542056074766,True
Atlanta,13-121-0056,2024,209,15.59714976076555,0.9766355140186916,True
Atlanta,13-121-0056,2025,172,12.801261994186046,0.8037383177570093,True
Chicago,17-031-0076,2019,214,10.073109018691587,1.0,True
Chicago,17-031-0076,2020,179,9.73937684357542,0.8364485981308412,True
Chicago,17-031-0076,2021,158,9.104541715189873,0.7383177570093458,False
Chicago,17-031-0076,2022,213,10.631834732394365,0.9953271028037384,True
Chicago,17-031-0076,2023,146,10.900588198630137,0.6822429906542056,False
Chicago,17-031-0076,2024,205,10.321168292682927,0.9579439252336449,True
Chicago,17-031-0076,2025,196,12.547155367346939,0.9158878504672897,True
Chicago,17-031-0219,2019,84,14.250944630952382,0.3925233644859813,False
Chicago,17-031-0219,2020,214,12.964206813084113,1.0,True
Chicago,17-031-0219,2021,207,13.530440347826087,0.9672897196261683,True
Chicago,17-031-0219,2022,193,13.76540141968912,0.9018691588785047,True
Chicago,17-031-0219,2023,202,14.830195757425743,0.9439252336448598,True
Chicago,17-031-0219,2024,202,13.04133906930693,0.9439252336448598,True
Chicago,17-031-0219,2025,211,10.900102369668247,0.985981308411215,True
Chicago,17-031-3103,2019,213,15.581898676056339,0.9953271028037384,True
Chicago,17-031-3103,2020,213,14.2021279342723,0.9953271028037384,True
Chicago,17-031-3103,2021,214,15.524868892523363,1.0,True
Chicago,17-031-3103,2022,214,16.253819752336447,1.0,True
Chicago,17-031-3103,2023,212,16.363996429245283,0.9906542056074766,True
Chicago,17-031-3103,2024,213,20.254350971830988,0.9953271028037384,True
Chicago,17-031-3103,2025,182,17.189228164835164,0.8504672897196262,True
Chicago,17-031-4002,2019,214,11.884630855140186,1.0,True
Chicago,17-031-4002,2020,205,11.527436297560975,0.9579439252336449,True
Chicago,17-031-4002,2021,213,12.374616018779342,0.9953271028037384,True
Chicago,17-031-4002,2022,207,12.445192628019322,0.9672897196261683,True
Chicago,17-031-4002,2023,122,14.490097672131146,0.5700934579439252,False
Chicago,17-031-4002,2024,206,12.13510572815534,0.9626168224299065,True
Chicago,17-031-4002,2025,176,10.793028431818183,0.822429906542056,True
Dallas,48-113-0069,2019,171,6.708364836257309,0.7990654205607477,False
Dallas,48-113-0069,2020,214,6.165846747663551,1.0,True
Dallas,48-113-0069,2021,208,7.777663235576923,0.9719626168224299,True
Dallas,48-113-0069,2022,212,7.631646981132075,0.9906542056074766,True
Dallas,48-113-0069,2023,214,7.831271102803738,1.0,True
Dallas,48-113-0069,2024,213,7.916777338028169,0.9953271028037384,True
Dallas,48-113-0075,2019,210,3.146828538095238,0.9813084112149533,True
Dallas,48-113-0075,2020,212,3.38483620754717,0.9906542056074766,True
Dallas,48-113-0075,2021,203,5.402162216748769,0.9485981308411215,True
Dallas,48-113-0075,2022,130,4.5992226615384615,0.6074766355140186,False
Dallas,48-113-0075,2023,187,3.8575689465240646,0.8738317757009346,True
Dallas,48-113-0075,2024,185,5.97355545945946,0.8644859813084113,True
Dallas,48-113-0075,2025,211,6.37338387677725,0.985981308411215,True
Dallas,48-113-0087,2019,161,4.486200968944099,0.7523364485981309,False
Dallas,48-113-0087,2020,211,3.937380047393365,0.985981308411215,True
Dallas,48-113-0087,2021,211,4.512203042654028,0.985981308411215,True
Dallas,48-113-0087,2022,151,4.560285993377483,0.705607476635514,False
Dallas,48-113-0087,2023,213,4.325279990610328,0.9953271028037384,True
Dallas,48-113-0087,2024,166,4.584488108433735,0.7757009345794392,False
Dallas,48-113-0087,2025,207,6.300841400966183,0.9672897196261683,True
Dallas,48-113-1067,2019,204,7.754098676470588,0.9532710280373832,True
Dallas,48-113-1067,2020,201,8.707708213930347,0.9392523364485982,True
Dallas,48-113-1067,2021,143,8.991419972027971,0.6682242990654206,False
Dallas,48-113-1067,2022,176,7.332682664772728,0.822429906542056,True
Dallas,48-113-1067,2023,159,8.455745842767294,0.7429906542056075,False
Dallas,48-113-1067,2024,196,9.270549382653062,0.9158878504672897,True
Dallas,48-113-1067,2025,208,9.502225725961539,0.9719626168224299,True
Denver,08-001-3001,2019,195,11.325003282051282,0.9112149532710281,True
Denver,08-001-3001,2020,205,11.899305014634146,0.9579439252336449,True
Denver,08-001-3001,2021,172,12.274139308139535,0.8037383177570093,True
Denver,08-001-3001,2022,167,11.998386580838323,0.780373831775701,False
Denver,08-001-3001,2023,203,11.535946724137931,0.9485981308411215,True
Denver,08-001-3001,2024,213,10.74215483568075,0.9953271028037384,True
Denver,08-001-3001,2025,208,10.611568567307692,0.9719626168224299,True
Denver,08-031-0002,2019,213,13.475299708920188,0.9953271028037384,True
Denver,08-031-0002,2020,211,11.49640352606635,0.985981308411215,True
Denver,08-031-0002,2021,212,12.58904404245283,0.9906542056074766,True
Denver,08-031-0002,2022,212,10.996681735849055,0.9906542056074766,True
Denver,08-031-0002,2023,190,10.959958389473684,0.8878504672897196,True
Denver,08-031-0002,2024,198,10.798690303030304,0.9252336448598131,True
Denver,08-031-0002,2025,212,11.195341136792452,0.9906542056074766,True
Denver,08-031-0026,2019,170,12.52732632352941,0.794392523364486,False
Denver,08-031-0026,2020,204,11.288434132352942,0.9532710280373832,True
Denver,08-031-0026,2021,197,12.492880385786803,0.9205607476635514,True
Denver,08-031-0026,2022,211,10.944612578199052,0.985981308411215,True
Denver,08-031-0026,2023,212,10.850961485849057,0.9906542056074766,True
Denver,08-031-0026,2024,197,10.299482634517766,0.9205607476635514,True
Denver,08-031-0026,2025,212,10.259389297169811,0.9906542056074766,True
Denver,08-031-0027,2019,206,19.6737368592233,0.9626168224299065,True
Denver,08-031-0027,2020,210,17.817449738095238,0.9813084112149533,True
Denver,08-031-0027,2021,190,19.006988547368422,0.8878504672897196,True
Denver,08-031-0027,2022,202,16.58633286138614,0.9439252336448598,True
Denver,08-031-0027,2023,212,16.63099791981132,0.9906542056074766,True
Denver,08-031-0027,2024,208,16.53849695673077,0.9719626168224299,True
Denver,08-031-0027,2025,207,17.099785816425122,0.9672897196261683,True
Denver,08-031-0028,2019,195,22.44295076923077,0.9112149532710281,True
Denver,08-031-0028,2020,206,21.53867072330097,0.9626168224299065,True
Denver,08-031-0028,2021,211,23.440297734597156,0.985981308411215,True
Denver,08-031-0028,2022,207,20.79484582125604,0.9672897196261683,True
Denver,08-031-0028,2023,211,20.657802180094787,0.985981308411215,True
Denver,08-031-0028,2024,209,20.267701909090906,0.9766355140186916,True
Denver,08-031-0028,2025,172,19.09925541860465,0.8037383177570093,True
Houston,48-201-0024,2019,211,5.345626928909953,0.985981308411215,True
Houston,48-201-0024,2020,210,5.052730871428571,0.9813084112149533,True
Houston,48-201-0024,2021,179,6.561282301675978,0.8364485981308412,True
Houston,48-201-0024,2022,209,6.24450923444976,0.9766355140186916,True
Houston,48-201-0024,2023,141,6.61245375177305,0.6588785046728972,False
Houston,48-201-0024,2024,169,6.890082035502959,0.7897196261682243,False
Houston,48-201-0024,2025,201,5.907724771144278,0.9392523364485982,True
Houston,48-201-0026,2019,211,7.804580407582939,0.985981308411215,True
Houston,48-201-0026,2020,204,6.277170490196078,0.9532710280373832,True
Houston,48-201-0026,2021,167,8.520286778443113,0.780373831775701,False
Houston,48-201-0026,2022,213,8.203508136150235,0.9953271028037384,True
Houston,48-201-0026,2023,212,7.995053448113207,0.9906542056074766,True
Houston,48-201-0026,2024,205,8.82297328292683,0.9579439252336449,True
Houston,48-201-0026,2025,211,8.267997943127963,0.985981308411215,True
Houston,48-201-0047,2019,210,8.309656171428571,0.9813084112149533,True
Houston,48-201-0047,2020,210,7.119222623809525,0.9813084112149533,True
Houston,48-201-0047,2021,185,9.35231952972973,0.8644859813084113,True
Houston,48-201-0047,2022,199,8.540088547738694,0.9299065420560748,True
Houston,48-201-0047,2023,129,7.482630372093023,0.602803738317757,False
Houston,48-201-0047,2024,175,3.1667637542857143,0.8177570093457944,True
Houston,48-201-0047,2025,214,8.99204403271028,1.0,True
Houston,48-201-0055,2019,209,4.219739770334928,0.9766355140186916,True
